{' Yes': -0.0030951896, 'Yes': -5.8984904, ' No': -8.919969, ' yes': -9.2945795, ' A': -9.588872}
{' Yes': -0.0056957793, 'Yes': -5.339161, ' No': -8.138285, ' Generally': -8.498276, ' A': -8.501278}
{' Yes': -0.006131796, 'Yes': -5.186464, ' No': -8.691598, ' yes': -8.939031, ' Sn': -9.366801}
{' Yes': -0.013690872, 'Yes': -5.144499, ' No': -5.290828, ' Generally': -6.9074225, ' S': -7.0283427}
{' Yes': -0.018220637, 'Yes': -4.244083, ' No': -6.4621706, ' Generally': -6.7647715, ' A': -8.248195}
{' Yes': -0.040673215, 'Yes': -3.945922, ' No': -4.190736, ' Generally': -5.8743577, 'No': -6.6885595}
{' Yes': -0.010682115, 'Yes': -4.6550817, ' Generally': -8.109316, ' No': -8.188725, ' ': -8.558047}
{' Yes': -0.025628617, 'Yes': -4.3828025, ' No': -4.7050467, ' Generally': -6.234945, 'No': -7.651489}
{' Yes': -0.026496736, 'Yes': -3.9113405, ' No': -5.804124, '\n': -6.7462573, ' ': -6.9192824}
{' Yes': -0.06870392, ' No': -3.3993616, 'Yes': -3.8700917, '\n': -5.217498, ' ': -6.0081205}
{' Yes': -0.03940081, 'Yes': -3.6053395, '\n': -5.412337, ' No': -5.561936, ' ': -6.415674}
{' Yes': -0.09824326, ' No': -2.8864665, 'Yes': -3.7067845, 'No': -5.598081, ' Sn': -5.6644435}
{' Yes': -0.003918595, 'Yes': -5.626478, ' A': -9.071694, ' yes': -9.212476, ' No': -10.08615}
{' Yes': -0.008056006, 'Yes': -5.2825637, ' No': -6.404945, ' A': -7.0765047, ' Generally': -8.37164}
{' Yes': -0.0061296374, 'Yes': -5.1982946, ' Sn': -8.405068, ' yes': -8.943339, ' No': -8.950248}
{' Yes': -0.028924307, ' No': -4.4203143, 'Yes': -4.4340606, ' Sn': -5.9761596, ' S': -7.245155}
{' Yes': -0.689947, ' No': -0.8741683, 'No': -3.192142, 'Yes': -4.173118, ' Generally': -4.9872108}
{' No': -0.14137155, 'No': -2.4131782, ' Yes': -3.6111822, '\n': -5.1491723, ' ': -6.048465}
{' Yes': -0.053851992, 'Yes': -3.1477888, '\n': -5.7168474, ' No': -6.0738106, ' ': -6.5283346}
{' No': -0.76885355, ' Yes': -0.8081965, 'No': -2.9869893, 'Yes': -4.1248317, ' Sn': -4.961288}
{' Yes': -0.029399848, 'Yes': -3.8100336, ' Generally': -6.2563834, ' No': -6.56146, ' ': -6.77111}
{' Yes': -0.037807427, 'Yes': -3.9453275, ' No': -4.8362484, ' Generally': -5.2645893, ' A': -6.2145386}
{' Yes': -0.023034342, 'Yes': -3.93637, ' Generally': -7.047854, ' ': -7.224517, ' yes': -7.7869973}
{' Yes': -0.04265178, 'Yes': -3.9540193, ' No': -4.241737, ' Sn': -5.848928, ' Generally': -6.305921}
{' Yes': -0.004114829, 'Yes': -5.9704857, ' yes': -7.0352726, ' ': -8.083988, '\n': -8.609591}
{' Yes': -0.0036423581, 'Yes': -6.065408, ' yes': -7.340205, ' No': -8.152154, ' ': -8.471189}
{' Yes': -0.004391079, 'Yes': -5.8143635, '\n': -7.4014645, ' yes': -7.5421195, ' ': -8.802397}
{' Yes': -0.010276328, ' No': -5.333062, 'Yes': -5.7533293, ' S': -6.866914, ' yes': -7.622111}
{' Yes': -0.048288528, 'Yes': -3.930893, ' No': -4.374672, '\n': -4.88031, ' ': -5.6235347}
{' Yes': -0.09427956, ' No': -2.8323164, 'Yes': -4.164016, ' A': -5.2430754, '\n': -5.6405077}
{' Yes': -0.022031445, 'Yes': -4.0591826, '\n': -6.386531, ' yes': -6.955278, ' ': -7.1191397}
{' Yes': -0.06573123, ' No': -3.3509502, 'Yes': -4.0233097, ' S': -5.5133877, ' Sn': -6.2009177}
{' Yes': -0.31596306, '\n': -1.9513427, ' No': -2.7404988, 'Yes': -3.6719754, ' ': -3.6912985}
{' Yes': -0.57746, ' No': -1.3618, '\n': -2.1708417, ' ': -3.888638, 'Yes': -3.9553664}
{' Yes': -0.32149613, '\n': -1.6980277, ' No': -3.099395, 'Yes': -3.6577613, ' ': -4.226945}
