{' Yes': -0.2106354, ' No': -1.6864445, 'Yes': -5.9270716, 'No': -6.5995607, '\n': -7.8603544}
{' Yes': -0.13476671, ' No': -2.127929, 'Yes': -5.486245, 'No': -6.418505, ' The': -7.587441}
{' No': -0.38323176, ' Yes': -1.1717488, 'No': -5.3526454, ' The': -6.528268, 'Yes': -6.6864557}
{' Yes': -0.0488508, ' No': -3.1395183, 'Yes': -5.6127405, 'No': -7.940141, ' The': -8.31903}
{' Yes': -0.0019142022, 'Yes': -6.299454, ' yes': -9.998774, ' The': -11.16989, '\n': -11.951178}
{' Yes': -0.0027855872, 'Yes': -6.238207, ' No': -7.205262, ' yes': -9.9708605, ' ': -11.445341}
{' Yes': -0.10810615, ' No': -2.3165393, 'Yes': -6.329023, ' The': -6.9411483, 'No': -7.7175283}
{' Yes': -0.0011970546, 'Yes': -6.870211, ' No': -9.74342, ' yes': -9.891979, ' The': -10.220646}
{' Yes': -0.005976901, 'Yes': -5.586005, ' No': -6.193499, ' yes': -9.950404, '\n': -10.0215845}
{' Yes': -0.14294347, ' No': -2.0410433, 'Yes': -6.045312, 'No': -7.2665505, ' The': -8.937266}
{' Yes': -0.003378395, ' No': -6.331278, 'Yes': -6.506532, ' yes': -10.1044235, '\n': -10.840706}
{' Yes': -0.023656538, ' No': -3.888868, 'Yes': -6.0572314, ' The': -8.23447, 'No': -9.039646}
{' Yes': -0.0039464794, 'Yes': -5.6067624, ' No': -8.709261, ' yes': -9.865854, ' The': -10.608442}
{' Yes': -0.0054426626, ' No': -5.799149, 'Yes': -6.1432195, ' The': -9.062682, ' yes': -9.672418}
{' Yes': -0.0017748267, 'Yes': -6.482712, ' yes': -9.494324, ' "': -9.880195, ' The': -10.083881}
{' No': -0.41057265, ' Yes': -1.0995985, 'No': -6.1925626, 'Yes': -7.668532, '\n': -7.697041}
{' Yes': -0.002350724, 'Yes': -6.3659925, ' No': -7.9210386, ' yes': -8.72388, ' The': -9.952476}
{' Yes': -0.16110764, ' No': -1.918903, 'Yes': -6.6844134, 'No': -7.6943464, ' The': -9.022058}
{' Yes': -0.0033371304, 'Yes': -6.3691072, ' No': -6.708682, ' The': -8.561683, '\n': -9.34036}
{' No': -0.3537715, ' Yes': -1.226294, 'No': -5.862536, ' The': -7.269274, 'Yes': -7.5916457}
{' Yes': -0.0011761058, 'Yes': -6.85176, ' No': -10.11317, ' yes': -10.218345, '\n': -10.994742}
{' Yes': -0.002741238, 'Yes': -6.017753, ' No': -8.642429, '\n': -9.731632, ' yes': -10.254624}
{' Yes': -0.0043351655, 'Yes': -5.4581866, ' yes': -10.089902, '\n': -11.652076, ' ': -12.4210005}
{' Yes': -0.09106173, ' No': -2.472974, 'Yes': -6.2376146, 'No': -7.8912573, ' The': -8.240882}
{' Yes': -0.011411467, ' No': -4.822506, 'Yes': -5.9726143, ' The': -7.831844, '\n': -8.581537}
{' No': -0.631424, ' Yes': -0.78029644, 'No': -5.3335876, ' The': -6.0385356, 'Yes': -6.27519}
{' Yes': -0.007912467, ' No': -5.076157, 'Yes': -6.5408006, ' yes': -9.9253845, '\n': -9.953762}
{' Yes': -0.3006428, ' No': -1.3659066, 'Yes': -6.191508, 'No': -6.424746, '\n': -7.8475094}
{' Yes': -0.0020531185, 'Yes': -7.0138435, ' No': -7.0168743, ' The': -8.899214, ' yes': -9.349304}
{' No': -0.021545025, ' Yes': -4.1287704, 'No': -5.3807063, ' The': -8.1244955, ' "': -9.195394}
{' Yes': -0.007984446, ' No': -5.393776, 'Yes': -5.8481083, '\n': -8.344706, ' The': -9.282904}
{' No': -0.05146998, ' Yes': -3.132265, 'No': -5.1014576, 'Yes': -8.708195, ' The': -9.104134}
{' Yes': -0.0024367617, 'Yes': -6.0587797, ' yes': -10.043353, ' No': -10.615176, ' The': -11.372003}
{' Yes': -0.073486306, ' No': -2.6885812, 'Yes': -6.128423, 'No': -7.956663, ' The': -8.796356}
{' Yes': -0.0059584333, 'Yes': -5.7676387, ' No': -5.9603686, ' The': -9.44731, ' yes': -9.533782}
{' No': -0.014026294, 'No': -4.9787974, ' Yes': -4.987169, ' The': -9.238469, ' Not': -9.884946}
{' Yes': -0.004724775, ' No': -5.8648105, 'Yes': -6.327671, ' yes': -10.146763, ' ': -11.139152}
{' Yes': -0.0030369577, 'Yes': -5.810602, ' yes': -10.727249, ' The': -12.324285, '\n': -12.596263}
{' Yes': -0.002186022, 'Yes': -6.1910396, ' yes': -9.737449, ' No': -10.189175, ' The': -10.659712}
{' No': -0.019741064, ' Yes': -4.272297, 'No': -5.3988476, ' Not': -7.6246924, ' The': -8.139745}
{' Yes': -0.0018113712, 'Yes': -6.557658, ' No': -8.0380335, ' yes': -10.345826, ' The': -11.1228895}
{' Yes': -0.0014463526, 'Yes': -6.605733, ' The': -10.417774, ' No': -10.468651, ' yes': -10.602982}
{' Yes': -0.0021455805, 'Yes': -6.309926, ' No': -8.353236, ' The': -10.329257, ' yes': -10.634912}
{' Yes': -0.0019984094, 'Yes': -6.3068, ' No': -9.740891, ' yes': -9.983679, ' The': -10.057797}
{' Yes': -0.014163216, ' No': -4.4096403, 'Yes': -6.55416, ' The': -8.134484, ' yes': -9.771608}
{' No': -0.06189014, ' Yes': -2.945597, 'No': -4.9933968, ' The': -8.457632, 'Yes': -8.475901}
{' Yes': -0.004826889, 'Yes': -5.863525, ' No': -6.3918715, '\n': -8.874978, ' yes': -9.324955}
{' Yes': -0.043576285, ' No': -3.2409735, 'Yes': -5.8676977, 'No': -8.221965, ' The': -8.718358}
{' Yes': -0.09747341, ' No': -2.4173377, 'Yes': -6.3760986, '\n': -7.2138443, ' The': -7.402769}
{' Yes': -0.070056275, ' No': -2.7312024, 'Yes': -6.246272, ' The': -8.043349, 'No': -8.704753}
{' Yes': -0.0044325073, 'Yes': -5.7800384, ' No': -6.828689, ' yes': -9.456858, ' The': -9.602827}
{' Yes': -0.16906507, ' No': -1.8848604, 'Yes': -6.438754, 'No': -7.405563, ' The': -7.433126}
{' Yes': -0.1993187, ' No': -1.7545003, '\n': -5.8159623, 'Yes': -6.05144, ' The': -6.895684}
