{' No': -0.065186426, ' Yes': -2.8289306, 'No': -5.7845254, ' The': -7.627158, 'Yes': -8.79785}
{' Yes': -0.1229804, ' No': -2.191948, 'Yes': -5.9428387, 'No': -7.3496094, ' The': -8.064756}
{' Yes': -0.014837874, ' No': -4.400143, 'Yes': -6.217446, ' The': -8.420004, ' "': -9.452106}
{' No': -0.021145461, ' Yes': -4.4193425, 'No': -4.8020616, ' The': -8.241747, '\n': -8.922924}
{' No': -0.29482925, ' Yes': -1.4063519, 'No': -5.626112, ' The': -5.765595, '\n': -6.437733}
{' No': -0.39790177, ' Yes': -1.1390308, 'No': -5.2220974, 'Yes': -6.508257, ' The': -7.584646}
{' No': -0.015042552, ' Yes': -4.789069, 'No': -5.0783453, '\n': -9.092866, ' Not': -9.449374}
{' Yes': -0.18022305, ' No': -1.8328775, 'Yes': -6.1773114, ' The': -6.417476, 'No': -7.081699}
{' Yes': -0.0074644643, ' No': -5.222604, 'Yes': -6.285989, ' The': -9.591776, ' yes': -10.133878}
{' No': -0.016312277, 'No': -4.7117276, ' Yes': -4.9991784, ' The': -8.495771, ' Not': -9.573557}
{' Yes': -0.59930825, ' No': -0.8057826, 'No': -6.235428, 'Yes': -6.51684, ' The': -8.45024}
{' No': -0.16613188, ' Yes': -1.9142588, 'No': -5.4049144, 'Yes': -7.706388, ' The': -7.786327}
{' No': -0.021911418, ' Yes': -4.072481, 'No': -5.4572883, ' The': -8.990665, ' Not': -9.2737875}
{' No': -0.12485021, ' Yes': -2.2651682, 'No': -4.522473, ' The': -6.9103003, 'Yes': -7.4873853}
{' Yes': -0.19008195, ' No': -1.7891304, 'Yes': -5.9826536, ' The': -6.583253, 'No': -6.8210382}
{' Yes': -0.2085729, ' No': -1.6837182, 'Yes': -6.679463, 'No': -7.4836197, ' The': -7.7850723}
{' Yes': -0.011358534, ' No': -4.694891, 'Yes': -6.260374, ' The': -9.23614, ' yes': -9.797114}
{' No': -0.41501364, ' Yes': -1.0976404, 'No': -5.7534246, 'Yes': -6.85654, ' The': -6.8905687}
{' No': -0.095424786, ' Yes': -2.467207, 'No': -5.309534, '\n': -7.9347568, ' The': -7.9562798}
{' Yes': -0.45320272, ' No': -1.040897, 'No': -5.189891, 'Yes': -5.330192, ' The': -8.193721}
{' No': -0.014333952, ' Yes': -4.6809807, 'No': -5.350092, '\n': -9.701206, ' Not': -10.015141}
{' Yes': -0.016529555, ' No': -4.2646794, 'Yes': -6.3491807, ' The': -8.414927, ' yes': -8.678448}
{' No': -0.011764402, 'No': -4.4624953, ' The': -10.158026, ' Not': -10.277798, '\n': -10.476941}
{' No': -0.016172398, 'No': -4.170091, ' Yes': -8.31378, ' Not': -8.6816845, ' The': -9.338221}
{' No': -0.2435874, ' Yes': -1.5579833, 'No': -5.490465, ' The': -7.448618, 'Yes': -7.543741}
{' No': -0.009426076, 'No': -4.87051, ' Yes': -6.526304, ' The': -8.914847, '\n': -10.504437}
{' Yes': -0.06452617, ' No': -2.8150923, 'Yes': -6.3159733, ' The': -7.967697, 'No': -8.440441}
{' No': -0.13075976, ' Yes': -2.1701465, 'No': -4.910352, 'Yes': -7.4983344, ' The': -8.178127}
{' No': -0.37218797, ' Yes': -1.1947283, 'No': -5.193551, 'Yes': -6.6243443, '\n': -7.8886437}
{' No': -0.017647242, ' Yes': -4.740204, 'No': -4.769215, ' The': -9.116343, 'Yes': -9.953606}
{' Yes': -0.6181637, ' No': -0.78714335, 'No': -6.113088, 'Yes': -6.514983, ' Not': -6.9336348}
{' Yes': -0.15964356, ' No': -1.9510882, 'Yes': -5.7113748, 'No': -6.920322, ' The': -7.5327625}
{' Yes': -0.0019500953, 'Yes': -6.6932282, ' No': -7.692269, ' The': -9.034474, ' yes': -9.29176}
{' No': -0.1316723, ' Yes': -2.1316912, 'No': -5.6962986, ' The': -7.37911, 'Yes': -8.134756}
{' Yes': -0.004841622, 'Yes': -5.7209234, ' No': -6.733594, ' The': -8.7515335, ' yes': -9.282503}
{' No': -0.02231336, 'No': -3.891446, ' Yes': -6.8029623, ' The': -8.379863, ' Not': -8.777015}
{' Yes': -0.21446541, ' No': -1.6915773, 'Yes': -5.757985, '\n': -6.3669524, ' The': -6.5986743}
{' No': -0.07761382, ' Yes': -2.690714, 'No': -5.2068286, ' The': -7.5209103, ' Not': -7.892835}
{' No': -0.0037112166, 'No': -5.6253104, ' ': -10.226014, ' Yes': -10.562186, '\n': -11.201358}
{' No': -0.01651271, 'No': -4.1326375, ' Yes': -8.73115, ' The': -9.541226, ' ': -10.397132}
{' Yes': -0.06653538, ' No': -2.8116772, 'Yes': -5.807422, 'No': -7.5303717, ' The': -7.5963755}
{' No': -0.40633312, ' Yes': -1.1274768, 'No': -5.067317, ' The': -6.3828034, 'Yes': -6.615486}
{' No': -0.011695469, ' Yes': -5.0599933, 'No': -5.509786, ' Not': -6.9729514, ' The': -8.506974}
{' No': -0.007335724, 'No': -5.305462, ' Yes': -6.207369, ' The': -8.760973, ' Not': -9.725384}
{' No': -0.023632616, ' Yes': -4.045029, 'No': -5.208605, ' The': -8.648487, ' Not': -9.350233}
{' No': -0.0149597805, ' Yes': -4.5208993, 'No': -5.6084137, ' The': -8.971439, '\n': -9.638838}
{' Yes': -0.2620162, ' No': -1.4938049, 'Yes': -6.230802, ' The': -6.5952086, 'No': -6.8910937}
{' No': -0.03449259, ' Yes': -3.7109604, 'No': -4.852497, ' Not': -7.2366138, ' The': -7.375469}
{' No': -0.028772343, ' Yes': -3.8379707, 'No': -5.1001415, ' Not': -8.257357, ' The': -8.67993}
{' No': -0.13752517, ' Yes': -2.122877, 'No': -4.9243917, 'Yes': -7.4397497, ' The': -7.714642}
{' No': -0.053169347, ' Yes': -3.1038206, 'No': -5.146961, ' The': -7.6928134, ' Not': -8.288456}
{' No': -0.33143067, ' Yes': -1.2891754, 'No': -5.5698776, ' The': -6.64626, 'Yes': -7.1557693}
{' Yes': -0.01169975, ' No': -4.829771, 'Yes': -5.7305202, ' yes': -8.988054, ' The': -9.200586}
{' No': -0.056436166, ' Yes': -3.0536072, 'No': -4.977348, ' The': -8.177758, 'Yes': -8.413852}
{' Yes': -0.05579125, ' No': -2.9936724, 'Yes': -5.718808, 'No': -7.996669, ' The': -8.380387}
{' Yes': -0.62835735, ' No': -0.77203786, 'No': -6.234009, 'Yes': -6.5132008, ' The': -7.681298}
{' No': -0.010613139, 'No': -4.6424203, ' Yes': -7.5009613, ' The': -8.399637, ' Not': -10.203276}
{' No': -0.01354302, 'No': -4.7117925, ' Yes': -5.5090857, ' The': -8.635649, '\n': -9.333098}
{' Yes': -0.0012968378, 'Yes': -6.958105, ' No': -8.722335, ' The': -9.084045, ' yes': -9.77616}
{' Yes': -0.05651986, ' No': -2.9484608, 'Yes': -6.363412, ' The': -7.9714193, 'No': -8.40666}
{' Yes': -0.004175039, 'Yes': -5.8703823, ' No': -6.749847, ' The': -9.815511, ' yes': -9.934102}
{' No': -0.07722632, ' Yes': -2.7462363, 'No': -4.7029986, 'Yes': -7.8633227, ' The': -8.498681}
{' Yes': -0.06973342, ' No': -2.7453847, 'Yes': -6.462498, ' The': -7.186289, 'No': -8.29097}
{' Yes': -0.024210302, ' No': -3.869448, 'Yes': -6.278242, ' The': -7.194971, ' yes': -8.677313}
{' No': -0.16516663, ' Yes': -1.9080293, 'No': -5.9663563, ' The': -7.3981814, 'Yes': -7.984781}
{' No': -0.18750109, ' Yes': -1.8145057, 'No': -5.109626, 'Yes': -7.2214746, ' "': -7.545745}
{' No': -0.05446359, ' Yes': -3.0945787, 'No': -4.9858217, ' The': -7.9296694, ' Not': -8.653098}
{' No': -0.013730152, 'No': -4.7083883, ' Yes': -5.4783964, ' The': -8.425119, '\n': -9.559455}
{' Yes': -0.6026768, ' No': -0.8075279, 'No': -5.8398876, 'Yes': -6.2107773, ' The': -7.364937}
{' Yes': -0.366848, ' No': -1.1981164, 'Yes': -5.9708877, 'No': -6.3374114, ' The': -7.925472}
{' No': -0.008892277, 'No': -5.2908726, ' Yes': -6.055212, ' The': -7.1182942, ' Not': -7.7437344}
{' No': -0.009069639, 'No': -5.011286, ' Yes': -6.3159904, ' The': -7.7444053, ' "': -10.2739315}
{' Yes': -0.0441308, ' No': -3.2329414, 'Yes': -5.779965, 'No': -8.369991, ' The': -8.604036}
{' Yes': -0.39521098, ' No': -1.1388118, 'Yes': -6.2449303, 'No': -6.5215034, ' The': -6.7854295}
{' No': -0.025148815, ' Yes': -4.085306, 'No': -4.932204, ' The': -8.022947, '\n': -8.902384}
{' No': -0.010151499, 'No': -4.7348084, ' Yes': -6.9791927, ' The': -8.590374, ' ': -9.946672}
{' Yes': -0.46764567, ' No': -0.994606, 'No': -6.490951, 'Yes': -6.6383624, ' The': -7.9175887}
{' No': -0.04483291, ' Yes': -3.3951194, 'No': -4.688557, '\n': -7.782349, ' The': -8.463717}
{' Yes': -0.12918235, ' No': -2.1626372, 'Yes': -6.0021086, ' The': -6.0387874, 'No': -7.24515}
{' No': -0.626995, ' Yes': -0.7867565, 'No': -5.0859375, 'Yes': -5.950563, ' The': -6.8479953}
