{' No': -0.4067778, ' Yes': -1.1102976, 'No': -5.860507, 'Yes': -6.994649, ' Not': -7.4909906}
{' Yes': -0.07530362, ' No': -2.6937385, 'Yes': -5.8401003, ' Not': -6.7931623, 'No': -7.916169}
{' No': -0.3270922, ' Yes': -1.31133, 'No': -5.0206423, 'Yes': -6.4028287, ' Not': -6.8193502}
{' No': -0.009121726, 'No': -4.9862275, ' Yes': -6.1726594, ' Not': -9.172036, ' ': -10.469883}
{' Yes': -0.002716853, 'Yes': -6.005814, ' No': -8.883858, ' The': -9.713973, ' yes': -10.408862}
{' Yes': -0.0022661884, 'Yes': -6.152401, ' No': -9.424816, ' yes': -10.462368, ' The': -11.478441}
{' Yes': -0.02213394, ' No': -4.0053225, 'Yes': -6.1353617, ' Laugh': -7.284394, ' ': -8.220109}
{' Yes': -0.24084088, ' No': -1.5510443, 'Yes': -6.601902, 'No': -7.68304, ' The': -9.665033}
{' Yes': -0.21736468, ' No': -1.6473095, 'Yes': -6.281148, 'No': -7.2167706, ' The': -9.5523615}
{' No': -0.27426356, ' Yes': -1.4442081, 'No': -5.7819443, 'Yes': -7.430147, ' Not': -9.65408}
{' No': -0.034723666, ' Yes': -3.6107373, 'No': -5.0191903, ' Unfortunately': -8.682964, 'Yes': -9.018686}
{' Yes': -0.21692324, ' No': -1.6541106, 'Yes': -6.1414337, 'No': -7.230803, ' The': -7.6506023}
{' Yes': -0.0042466293, 'Yes': -5.759957, ' No': -6.8935018, ' The': -10.330859, ' yes': -10.824864}
{' Yes': -0.03814429, ' No': -3.3703146, 'Yes': -5.8839173, 'No': -9.090297, ' The': -9.457556}
{' Yes': -0.354867, ' No': -1.2160139, 'Yes': -6.7636456, 'No': -7.2972307, ' The': -8.671683}
{' Yes': -0.016397646, ' No': -4.2974267, 'Yes': -6.0579085, ' The': -8.776885, ' yes': -9.785755}
{' Yes': -0.0036445723, ' Uncle': -6.3117056, 'Yes': -6.452777, ' ': -9.08495, ' yes': -9.954047}
{' No': -0.01252641, ' Yes': -4.6844964, 'No': -5.797301, ' ': -9.809077, 'Yes': -10.613152}
{' No': -0.019310867, 'No': -4.5873175, ' Yes': -4.8295183, ' Unfortunately': -8.098638, ' Not': -8.213412}
{' Yes': -0.53458256, ' No': -0.898232, 'No': -5.8912716, 'Yes': -5.91152, ' Stamp': -7.295141}
{' Yes': -0.0033075854, 'Yes': -6.2729855, ' No': -6.592697, ' yes': -10.721501, ' The': -11.478267}
{' Yes': -0.0017816329, 'Yes': -6.36071, ' yes': -10.39678, ' The': -11.929057, ' ': -12.458681}
{' No': -0.034921225, ' Yes': -3.4668155, 'No': -5.8475223, 'Yes': -9.407838, ' Unfortunately': -9.960518}
{' Yes': -0.14476594, ' No': -2.0196953, 'Yes': -6.9006557, ' The': -7.19853, 'No': -8.5085335}
{' Yes': -0.06302507, ' No': -2.8920863, 'Yes': -5.441481, ' The': -7.420439, 'No': -8.079842}
{' Yes': -0.0052465904, 'Yes': -5.8960714, ' No': -6.3091383, ' The': -7.503848, ' yes': -10.015792}
{' No': -0.29278752, ' Yes': -1.3883895, 'No': -5.8578787, ' Not': -7.1488886, 'Yes': -7.3864455}
{' Yes': -0.0025194006, 'Yes': -6.340599, ' No': -7.309785, ' yes': -10.778658, '\n': -11.136532}
{' Yes': -0.030922487, ' No': -4.017527, 'Yes': -4.9199452, ' Drunk': -5.869822, ' Int': -7.0255547}
{' Yes': -0.2878672, ' No': -1.4081484, 'Yes': -5.567732, 'No': -6.7601438, ' The': -8.166838}
{' No': -0.39544508, ' Yes': -1.1280043, 'No': -6.3287063, 'Yes': -7.269056, ' The': -8.556349}
{' No': -0.03976531, ' Yes': -3.3902423, 'No': -5.817149, ' Unfortunately': -6.675064, ' The': -7.8296824}
{' Yes': -0.0012804255, 'Yes': -6.700742, ' yes': -10.826555, ' The': -11.128444, ' No': -11.60239}
{' Yes': -0.0018692943, 'Yes': -6.3106494, ' yes': -10.268451, '\n': -12.132425, ' The': -12.832286}
{' Yes': -0.24061505, ' No': -1.5475303, 'Yes': -7.3047776, 'No': -8.429965, ' The': -9.643385}
{' No': -0.003875694, 'No': -5.773144, ' Yes': -7.6870823, ' Not': -8.480479, ' ': -10.33028}
{' Yes': -0.0013726366, 'Yes': -6.6241045, ' No': -11.049293, ' yes': -11.061269, ' The': -11.9885235}
{' Yes': -0.002081905, 'Yes': -6.204745, ' No': -10.419103, ' yes': -11.048706, ' The': -11.5486145}
{' Yes': -0.0034393389, 'Yes': -5.7285905, ' No': -9.4595375, ' Party': -10.395847, ' yes': -10.528137}
{' Yes': -0.02035849, ' No': -4.0482683, 'Yes': -5.980498, 'No': -9.3869295, ' The': -10.746403}
{' Yes': -0.46403882, ' No': -0.99527925, 'Yes': -7.114506, 'No': -7.4204993, ' The': -9.213871}
{' Yes': -0.23255064, ' No': -1.5887957, 'Yes': -6.6096754, ' The': -7.10684, 'No': -7.5263863}
{' Yes': -0.06613723, ' No': -2.8171728, 'Yes': -5.5514865, 'No': -8.312139, ' The': -10.031135}
{' Yes': -0.0017244925, 'Yes': -6.388435, ' yes': -10.846577, ' The': -11.060663, ' YES': -12.904318}
{' No': -0.23692855, ' Yes': -1.5691599, 'No': -6.2200384, 'Yes': -7.9653254, ' Not': -8.391948}
{' No': -0.12848848, ' Yes': -2.1483514, 'No': -5.7756004, ' Not': -7.971609, 'Yes': -8.302599}
{' Yes': -0.013501032, ' Shirt': -4.7817926, ' No': -5.666318, 'Yes': -6.5350924, ' yes': -10.095763}
{' Yes': -0.0012202683, 'Yes': -6.9050417, ' No': -8.611111, ' yes': -10.645735, ' The': -12.302939}
{' Yes': -0.023032816, ' No': -3.8827453, 'Yes': -6.2050414, ' Pants': -9.851283, 'No': -10.220393}
{' Yes': -0.05806702, ' No': -2.9367824, 'Yes': -5.8104014, ' The': -8.923839, 'No': -8.930837}
{' Yes': -0.010474895, ' No': -4.7772517, 'Yes': -6.389835, ' The': -8.577555, ' yes': -9.961561}
{' No': -0.015612332, ' Yes': -4.538535, 'No': -5.371718, ' Not': -9.681877, 'Yes': -10.163073}
{' Yes': -0.008526892, 'Yes': -5.0458117, ' No': -6.315568, ' The': -8.817458, ' yes': -9.9926}
{' Yes': -0.052423477, ' No': -3.0093155, 'Yes': -6.5527678, ' The': -8.647379, 'No': -9.717472}
{' Yes': -0.093280755, ' No': -2.4534643, 'Yes': -6.0132484, 'No': -8.0471525, ' The': -8.641876}
{' Yes': -0.0042794934, 'Yes': -5.9752774, ' No': -6.5637774, ' The': -8.308663, '\n': -10.888673}
{' Yes': -0.005732767, ' No': -5.384147, 'Yes': -6.874654, ' yes': -10.02488, ' The': -10.420299}
{' No': -0.42276728, ' Yes': -1.075378, 'No': -6.012237, 'Yes': -7.2061915, ' The': -8.404422}
{' Yes': -0.0023100995, 'Yes': -6.735317, ' No': -6.8496585, ' The': -10.467056, ' yes': -11.147079}
{' Yes': -0.056887366, ' No': -2.9270482, 'Yes': -6.4468956, 'No': -9.187771, ' yes': -10.687155}
{' No': -0.0028656842, 'No': -6.3441, ' Yes': -6.8369203, ' ': -10.805676, ' The': -12.511696}
{' Yes': -0.0013868432, 'Yes': -6.778377, ' No': -8.665001, ' The': -10.036753, ' yes': -10.807768}
{' Yes': -0.0019202338, 'Yes': -6.4913945, ' No': -7.8776975, ' yes': -11.395312, ' The': -12.02221}
{' Yes': -0.0075605493, 'Yes': -5.6189036, ' No': -6.2034717, ' Women': -6.3507533, ' ': -10.297918}
{' Yes': -0.08646899, ' No': -2.8906605, 'Yes': -3.8103268, 'No': -6.2894573, ' yes': -6.8723354}
{' Yes': -0.1480228, ' No': -2.00789, 'Yes': -6.10718, ' The': -7.6218915, 'No': -7.7919893}
{' No': -0.197218, ' Yes': -1.7432709, 'No': -5.7788177, 'Yes': -7.7109275, ' Unfortunately': -8.172619}
{' Yes': -0.003839972, ' No': -6.040997, 'Yes': -6.681797, ' The': -9.105597, ' yes': -10.267292}
{' Yes': -0.007014722, ' No': -5.1443954, 'Yes': -6.8121862, '\n': -11.079591, 'No': -11.3522625}
{' No': -0.651268, ' Yes': -0.7448121, 'No': -6.2865963, 'Yes': -6.5856094, ' Unfortunately': -8.492664}
{' Yes': -0.0014427716, 'Yes': -6.7274704, ' No': -8.486643, ' yes': -11.040761, ' The': -11.4621525}
{' Yes': -0.0020317333, 'Yes': -6.2350616, ' No': -10.658001, ' yes': -10.6798, ' The': -11.5234995}
{' Yes': -0.30781293, ' No': -1.3384945, 'Yes': -6.376641, 'No': -7.0136, '\n': -10.405289}
{' Yes': -0.009757843, ' No': -4.767566, 'Yes': -6.774816, ' The': -10.8446, 'No': -10.916858}
{' No': -0.0088659385, ' Yes': -5.159846, 'No': -5.9188848, ' Not': -8.200774, ' It': -9.914915}
{' No': -0.01306487, ' Yes': -4.6874804, 'No': -5.6533732, ' Unfortunately': -9.272056, ' The': -9.588062}
{' Yes': -0.45282322, ' No': -1.0203853, 'Yes': -6.145303, 'No': -6.538886, ' Not': -10.371879}
{' No': -0.32346264, ' Yes': -1.3118106, 'No': -5.560498, ' The': -6.883277, 'Yes': -6.955468}
