{'actual_primer': True, 'actual_word': True, 'primer': 'left', 'question': 'right', 'separator': ' ', 'separator_length': 15, 'q': 'Q', 'a': 'A', 'qa_separator': ':'}
{'actual_primer': False, 'actual_word': True, 'primer': 'liquid', 'question': 'right', 'separator': ' ', 'separator_length': 15, 'q': 'Q', 'a': 'A', 'qa_separator': ':'}
{'actual_primer': False, 'actual_word': False, 'primer': 'left', 'question': 'zbtly', 'separator': ' ', 'separator_length': 15, 'q': 'Q', 'a': 'A', 'qa_separator': ':'}
{'actual_primer': False, 'actual_word': False, 'primer': 'liquid', 'question': 'zbtly', 'separator': ' ', 'separator_length': 15, 'q': 'Q', 'a': 'A', 'qa_separator': ':'}
{'actual_primer': True, 'actual_word': True, 'primer': 'pepperoni', 'question': 'pizza', 'separator': ' ', 'separator_length': 15, 'q': 'Q', 'a': 'A', 'qa_separator': ':'}
{'actual_primer': False, 'actual_word': True, 'primer': 'dangerous', 'question': 'pizza', 'separator': ' ', 'separator_length': 15, 'q': 'Q', 'a': 'A', 'qa_separator': ':'}
{'actual_primer': False, 'actual_word': False, 'primer': 'pepperoni', 'question': 'rlqpb', 'separator': ' ', 'separator_length': 15, 'q': 'Q', 'a': 'A', 'qa_separator': ':'}
{'actual_primer': False, 'actual_word': False, 'primer': 'dangerous', 'question': 'rlqpb', 'separator': ' ', 'separator_length': 15, 'q': 'Q', 'a': 'A', 'qa_separator': ':'}
{'actual_primer': True, 'actual_word': True, 'primer': 'cobra', 'question': 'snake', 'separator': ' ', 'separator_length': 15, 'q': 'Q', 'a': 'A', 'qa_separator': ':'}
{'actual_primer': False, 'actual_word': True, 'primer': 'chimpanzee', 'question': 'snake', 'separator': ' ', 'separator_length': 15, 'q': 'Q', 'a': 'A', 'qa_separator': ':'}
{'actual_primer': False, 'actual_word': False, 'primer': 'cobra', 'question': 'vvbhz', 'separator': ' ', 'separator_length': 15, 'q': 'Q', 'a': 'A', 'qa_separator': ':'}
{'actual_primer': False, 'actual_word': False, 'primer': 'chimpanzee', 'question': 'vvbhz', 'separator': ' ', 'separator_length': 15, 'q': 'Q', 'a': 'A', 'qa_separator': ':'}
{'actual_primer': True, 'actual_word': True, 'primer': 'giggle', 'question': 'laugh', 'separator': ' ', 'separator_length': 15, 'q': 'Q', 'a': 'A', 'qa_separator': ':'}
{'actual_primer': False, 'actual_word': True, 'primer': 'vocabulary', 'question': 'laugh', 'separator': ' ', 'separator_length': 15, 'q': 'Q', 'a': 'A', 'qa_separator': ':'}
{'actual_primer': False, 'actual_word': False, 'primer': 'giggle', 'question': 'whpfp', 'separator': ' ', 'separator_length': 15, 'q': 'Q', 'a': 'A', 'qa_separator': ':'}
{'actual_primer': False, 'actual_word': False, 'primer': 'vocabulary', 'question': 'whpfp', 'separator': ' ', 'separator_length': 15, 'q': 'Q', 'a': 'A', 'qa_separator': ':'}
{'actual_primer': True, 'actual_word': True, 'primer': 'king', 'question': 'queen', 'separator': ' ', 'separator_length': 15, 'q': 'Q', 'a': 'A', 'qa_separator': ':'}
{'actual_primer': False, 'actual_word': True, 'primer': 'breakfast', 'question': 'queen', 'separator': ' ', 'separator_length': 15, 'q': 'Q', 'a': 'A', 'qa_separator': ':'}
{'actual_primer': False, 'actual_word': False, 'primer': 'king', 'question': 'wdxcy', 'separator': ' ', 'separator_length': 15, 'q': 'Q', 'a': 'A', 'qa_separator': ':'}
{'actual_primer': False, 'actual_word': False, 'primer': 'breakfast', 'question': 'wdxcy', 'separator': ' ', 'separator_length': 15, 'q': 'Q', 'a': 'A', 'qa_separator': ':'}
{'actual_primer': True, 'actual_word': True, 'primer': 'north', 'question': 'south', 'separator': ' ', 'separator_length': 15, 'q': 'Q', 'a': 'A', 'qa_separator': ':'}
{'actual_primer': False, 'actual_word': True, 'primer': 'cigar', 'question': 'south', 'separator': ' ', 'separator_length': 15, 'q': 'Q', 'a': 'A', 'qa_separator': ':'}
{'actual_primer': False, 'actual_word': False, 'primer': 'north', 'question': 'srjvx', 'separator': ' ', 'separator_length': 15, 'q': 'Q', 'a': 'A', 'qa_separator': ':'}
{'actual_primer': False, 'actual_word': False, 'primer': 'cigar', 'question': 'srjvx', 'separator': ' ', 'separator_length': 15, 'q': 'Q', 'a': 'A', 'qa_separator': ':'}
{'actual_primer': True, 'actual_word': True, 'primer': 'airport', 'question': 'plane', 'separator': ' ', 'separator_length': 15, 'q': 'Q', 'a': 'A', 'qa_separator': ':'}
