{' Yes': -0.010687537, ' No': -4.721705, 'Yes': -6.4608536, ' Right': -10.454877, 'No': -10.500437}
{' Yes': -0.010007598, 'Yes': -5.4497294, ' Right': -5.545732, ' No': -7.7262473, ' Bright': -8.023075}
{' Yes': -0.0029258216, 'Yes': -6.0358562, ' Pizza': -8.036581, ' No': -9.423908, ' yes': -10.128357}
{' Yes': -0.0014463526, 'Yes': -6.575417, ' yes': -11.004729, ' No': -11.467766, ' YES': -11.49184}
{' Yes': -0.007762961, 'Yes': -4.937084, ' Snake': -8.191711, ' Sure': -9.137461, ' yes': -9.836962}
{' Yes': -0.0030309183, 'Yes': -5.8576922, ' Snake': -9.819834, ' yes': -10.061056, ' YES': -10.18832}
{' Yes': -0.020061864, ' Laugh': -4.1577935, 'Yes': -5.564776, ' No': -9.465366, ' yes': -9.671682}
{' Yes': -0.0028612013, 'Yes': -6.1081142, ' Laugh': -7.526691, ' yes': -10.418467, ' YES': -10.4406395}
{' Yes': -0.00413446, 'Yes': -5.686169, ' Queen': -7.4620595, ' yes': -9.433242, ' YES': -10.520785}
{' Yes': -0.0014907621, 'Yes': -6.541583, ' yes': -10.728309, ' No': -11.695358, ' YES': -11.785917}
{' Yes': -0.049208567, ' No': -3.0757873, 'Yes': -6.484562, 'No': -8.917889, '\n': -9.477875}
{' Yes': -0.0017710073, 'Yes': -6.410989, '\n': -9.98478, ' yes': -10.469068, ' No': -10.498765}
{' Yes': -0.0029751991, 'Yes': -5.8703413, ' Plane': -9.586732, ' yes': -10.435069, ' Sure': -10.6803255}
{' Yes': -0.0031362078, 'Yes': -5.8855114, ' Plane': -8.276124, ' yes': -9.764423, ' YES': -11.37379}
{' Yes': -0.01650271, ' Found': -4.3254375, 'Yes': -5.8867736, ' yes': -8.740144, ' YES': -9.327614}
{' Yes': -0.002060764, 'Yes': -6.313603, ' Found': -9.041629, ' yes': -9.539074, ' YES': -10.687764}
{' Yes': -0.0011129731, 'Yes': -7.1039605, ' Uncle': -8.672596, ' yes': -9.854878, ' Sure': -10.613878}
{' Yes': -0.007830601, 'Yes': -5.58227, ' Uncle': -6.3434505, ' No': -6.3472786, ' Unc': -9.009577}
{' Yes': -0.0017272371, 'Yes': -6.4202514, ' yes': -10.334639, '\n': -10.823335, ' YES': -10.921056}
{' Yes': -0.0032065855, 'Yes': -5.8124347, ' Sure': -9.653562, ' yes': -9.729391, '\n': -10.348608}
{' Yes': -0.0016521291, 'Yes': -6.494286, ' yes': -9.729599, ' YES': -10.697914, ' Yep': -10.78718}
{' Yes': -0.0026865504, 'Yes': -5.975396, ' yes': -9.250939, ' YES': -10.612569, '\n': -11.894883}
{' Yes': -0.031035362, ' No': -3.5641375, 'Yes': -6.160416, 'No': -9.438546, ' yes': -10.9247875}
{' Yes': -0.0020003214, 'Yes': -6.256784, ' Sure': -11.10184, ' yes': -11.166925, ' YES': -11.179578}
{' Yes': -0.003933915, 'Yes': -6.047503, ' Te': -6.6703153, ' No': -9.307153, '\n': -9.648331}
{' Yes': -0.0028635918, 'Yes': -6.549513, ' Te': -6.879019, ' No': -9.10484, '\n': -9.189367}
{' Yes': -0.0010620138, 'Yes': -6.8710856, ' yes': -11.512154, ' No': -12.332198, ' YES': -12.514676}
{' Yes': -0.0014597838, 'Yes': -6.59174, '\n': -10.498339, ' yes': -10.513733, ' Sure': -10.711042}
{' Yes': -0.0054825167, 'Yes': -5.2594285, ' yes': -9.480518, ' YES': -9.987463, ' Drunk': -10.034798}
{' Yes': -0.0070804516, 'Yes': -5.01319, ' Dr': -8.896075, ' yes': -9.230045, ' Drunk': -9.869299}
{' No': -0.1062937, ' Yes': -2.3215055, 'No': -6.0539536, 'Yes': -8.725448, ' Nope': -8.858873}
