{' Yes': -0.4832697, ' No': -0.96698284, 'Yes': -6.763613, 'No': -6.8934584, ' Nope': -7.4044847}
{' Yes': -0.08788048, ' No': -2.5055974, 'Yes': -6.300109, 'No': -8.137759, ' Nope': -8.590825}
{' No': -0.0021543605, 'No': -6.1808667, ' Nope': -10.286389, ' Yes': -10.768815, '\n': -10.826917}
{' No': -0.0030424572, 'No': -5.887987, ' Yes': -9.0438175, ' Nope': -9.137292, '\n': -11.045253}
{' Yes': -0.043039188, ' No': -3.3112676, ' Pizza': -5.8473506, 'Yes': -6.2086043, ' Nope': -8.114656}
{' No': -0.27516967, ' Yes': -1.4447596, 'No': -5.761343, ' Nope': -7.035013, 'Yes': -7.420822}
{' No': -0.0032496979, 'No': -5.8882785, ' Nope': -7.794063, '\n': -10.8100605, ' Yes': -10.876681}
{' No': -0.0021368593, 'No': -6.199808, ' Nope': -9.920187, ' Yes': -10.288242, '\n': -11.031528}
{' Yes': -0.010412014, 'Yes': -5.061956, ' Snake': -5.8505187, ' No': -7.6730685, ' Sn': -8.505098}
{' Yes': -0.0062462264, 'Yes': -5.536361, ' Snake': -6.832435, ' No': -7.004009, ' yes': -9.459135}
{' No': -0.0036524693, 'No': -5.6859736, '\n': -9.160244, ' Nope': -9.25422, ' Yes': -10.164146}
{' No': -0.0027510978, 'No': -5.9880886, ' Yes': -9.284563, ' Nope': -9.311218, '\n': -9.9660225}
{' Yes': -0.039599165, ' No': -4.0315957, ' Laugh': -4.591685, 'Yes': -5.395638, ' Nope': -5.920413}
{' Yes': -0.10764572, ' No': -2.4133518, 'Yes': -5.474095, ' Nope': -5.7756996, ' Laugh': -6.0320516}
{' No': -0.004834494, 'No': -5.635701, ' Yes': -7.39577, ' Nope': -7.5611906, '\n': -9.382382}
{' No': -0.025681334, ' Yes': -3.8271718, 'No': -6.0231276, ' Nope': -6.95329, '\n': -9.611775}
{' Yes': -0.20256907, ' No': -1.7270842, 'Yes': -5.7900777, 'No': -6.3967066, ' Nope': -7.958631}
{' Yes': -0.6573375, ' No': -0.7431948, 'No': -5.616604, 'Yes': -6.35046, ' Nope': -7.599226}
{' No': -0.002525435, 'No': -6.090179, ' Yes': -8.5369, '\n': -10.075296, ' Nope': -11.497646}
{' No': -0.0021824383, 'No': -6.234354, ' Yes': -8.642143, '\n': -10.634338, ' Nope': -11.39384}
{' No': -0.020797357, ' Yes': -4.121139, 'No': -5.9800825, ' Nope': -6.4579916, '\n': -8.901977}
{' Yes': -0.011456022, ' No': -4.6203556, 'Yes': -6.5747476, '\n': -9.808659, 'No': -10.498457}
{' No': -0.0022884128, 'No': -6.1228566, '\n': -9.661962, ' Yes': -11.242369, ' Nope': -11.797249}
{' No': -0.0034824652, 'No': -5.7094016, '\n': -8.888343, ' ': -11.298133, ' Nope': -11.867593}
{' Yes': -0.022770459, ' No': -4.4223485, ' Plane': -5.1002164, 'Yes': -5.5356946, ' Nope': -8.8503}
{' Yes': -0.007691361, ' No': -5.242112, 'Yes': -6.2385297, ' Plane': -8.250234, ' Nope': -9.721608}
{' No': -0.0019953025, 'No': -6.292536, '\n': -9.55867, ' Yes': -10.30378, ' Nope': -10.539137}
{' No': -0.0020006802, 'No': -6.236112, '\n': -10.531385, ' Nope': -11.994197, ' Not': -12.796011}
{' Yes': -0.0028704666, 'Yes': -6.2967525, ' Found': -7.514726, ' No': -8.243094, ' yes': -9.748805}
{' Yes': -0.002415552, 'Yes': -6.627948, ' No': -7.207083, ' Found': -8.686779, ' yes': -9.702306}
{' No': -0.0026462693, 'No': -5.9979386, '\n': -9.688922, ' Nope': -9.865531, ' Yes': -10.224489}
{' No': -0.0024230808, 'No': -6.076342, '\n': -9.371491, ' Nope': -11.222565, ' Yes': -11.38155}
{' No': -0.38632607, ' Yes': -1.3841937, ' Uncle': -2.8589535, ' Nope': -5.2844086, 'No': -5.9651356}
{' No': -0.23637715, ' Yes': -1.6140894, ' Nope': -5.087575, 'No': -5.7042584, 'Yes': -7.36533}
{' No': -0.0023078287, 'No': -6.3170104, ' Yes': -8.018775, ' Nope': -8.922731, '\n': -10.708285}
