{' Yes': -0.0062188194, 'Yes': -5.4882436, ' Generally': -6.715779, ' No': -8.289528, ' A': -8.50017}
{' Yes': -0.00741372, 'Yes': -5.469869, ' No': -6.757868, ' Generally': -6.9148307, ' A': -7.839174}
{' Yes': -0.017567893, ' Generally': -4.5812426, 'Yes': -5.3038416, ' M': -6.8669558, ' In': -8.485293}
{' Yes': -0.019117344, ' Generally': -4.6207175, 'Yes': -5.1814346, ' M': -6.4484406, ' No': -7.1804066}
{' Yes': -0.02729841, 'Yes': -3.8649616, ' Generally': -5.6045346, '\n': -7.2302876, ' ': -7.423868}
{' Yes': -0.025229743, 'Yes': -3.8818731, ' Generally': -5.8963995, ' ': -7.837069, ' No': -8.403924}
{' Yes': -0.029765693, 'Yes': -3.88458, ' Generally': -5.1642866, ' M': -6.702073, ' ': -7.83542}
{' Yes': -0.052854598, 'Yes': -3.6839485, ' Generally': -3.9352663, ' M': -5.8648143, ' No': -6.845852}
{' Yes': -0.03351555, 'Yes': -3.879985, '\n': -4.913425, ' ': -6.028304, ' No': -6.7853446}
{' Yes': -0.042455364, 'Yes': -3.4348235, '\n': -5.408071, ' ': -6.2258997, ' No': -6.636354}
{' Yes': -0.05789111, 'Yes': -3.4799488, '\n': -4.358489, ' ': -5.596629, ' M': -5.786315}
{' Yes': -0.04930524, 'Yes': -3.4975817, ' Generally': -5.2738647, '\n': -5.347725, ' M': -5.6987586}
{' Yes': -0.009093336, 'Yes': -5.0264387, ' No': -6.7613077, ' Generally': -7.2533407, ' ': -8.563935}
{' Yes': -0.013174844, 'Yes': -4.720429, ' Generally': -6.250296, ' No': -6.5680776, ' A': -7.9281273}
{' Yes': -0.022829976, 'Yes': -4.2621794, ' Generally': -5.2407103, ' M': -6.4099984, '\n': -8.277952}
{' Yes': -0.024382027, 'Yes': -4.2833867, ' Generally': -4.849404, ' M': -6.8887825, ' No': -7.252663}
{' Yes': -0.1300711, 'Yes': -3.174949, ' No': -3.5869896, '\n': -3.683961, ' Generally': -4.681898}
{' Yes': -0.12076834, 'Yes': -3.271214, ' No': -3.4845853, '\n': -4.069367, ' Generally': -4.5634294}
{' Yes': -0.11375289, 'Yes': -2.8658357, '\n': -3.4975915, ' ': -5.0118575, ' M': -5.3469844}
{' Yes': -0.096546315, 'Yes': -3.1529331, ' Generally': -4.442255, ' No': -4.586162, ' M': -4.73431}
{' Yes': -0.036212873, 'Yes': -3.9045427, ' Generally': -5.373115, ' No': -5.5001583, ' ': -6.0259013}
{' Yes': -0.046182934, 'Yes': -3.399775, ' Generally': -5.2436943, '\n': -6.1608963, ' ': -6.3949356}
{' Yes': -0.041251406, 'Yes': -3.616292, ' Generally': -4.973832, ' M': -6.1454782, ' ': -6.68464}
