{' No': -0.07183919, ' Yes': -2.7906997, 'No': -4.9420385, 'Yes': -8.206423, '\n': -8.27543}
{' No': -0.18175587, ' Yes': -1.8608598, 'No': -4.733086, 'Yes': -7.2163014, ' The': -7.6673584}
{' No': -0.015786422, 'No': -4.890376, ' Yes': -4.9345903, ' The': -7.8162813, ' Not': -8.070542}
{' No': -0.022482812, ' Yes': -4.441666, 'No': -4.602103, ' The': -8.396537, 'Yes': -9.546107}
{' Yes': -0.002180883, 'Yes': -6.241942, ' No': -9.252497, ' yes': -9.517103, ' The': -10.107698}
{' Yes': -0.0064506545, ' No': -5.3435493, 'Yes': -6.4930077, ' yes': -9.701452, ' The': -10.253805}
{' No': -0.03248708, ' Yes': -3.6260903, 'No': -5.4065237, ' The': -8.0966015, '\n': -8.673745}
{' Yes': -0.12990922, ' No': -2.1226327, 'Yes': -6.7238283, ' The': -7.81529, 'No': -8.243483}
{' No': -0.27280748, ' Yes': -1.471555, 'No': -4.909112, 'Yes': -6.626088, ' The': -8.690543}
{' No': -0.039328706, ' Yes': -3.3924134, 'No': -5.375516, ' The': -9.00273, 'Yes': -9.184943}
{' No': -0.02824253, ' Yes': -3.8385947, 'No': -5.125168, '\n': -9.375404, ' Not': -9.437189}
{' No': -0.6412123, ' Yes': -0.76256555, 'No': -5.550693, 'Yes': -6.3653083, ' The': -7.076957}
{' Yes': -0.005712624, 'Yes': -5.6436667, ' No': -6.2234545, ' The': -9.557912, ' yes': -9.639127}
{' Yes': -0.11184443, ' No': -2.2773852, 'Yes': -6.137652, 'No': -7.6669416, ' The': -7.890359}
{' Yes': -0.07602115, ' No': -2.653057, 'Yes': -6.3501844, 'No': -8.066455, ' "': -8.2104645}
{' No': -0.0155059025, ' Yes': -4.6830354, 'No': -5.190734, '\n': -8.392647, ' The': -8.739743}
{' Yes': -0.5482955, ' No': -0.87244, 'No': -6.479809, 'Yes': -6.8309755, '\n': -7.6907325}
{' No': -0.007932416, ' Yes': -5.530376, 'No': -5.5758395, ' The': -9.899997, '\n': -10.447688}
{' Yes': -0.0241206, ' No': -3.87793, 'Yes': -6.164234, ' The': -7.6221833, '\n': -8.383539}
{' No': -0.018203883, ' Yes': -4.3219104, 'No': -5.463022, ' The': -8.238419, ' Not': -9.005394}
