{' Yes': -0.0011963383, 'Yes': -7.0440254, ' The': -8.79854, ' yes': -9.431768, ' No': -9.676268}
{' Yes': -0.0017782893, 'Yes': -6.4492, ' yes': -9.193906, ' The': -10.591934, '\n': -10.664847}
{' Yes': -0.002313505, 'Yes': -6.4268675, ' No': -7.6805224, ' yes': -9.491988, '\n': -9.669917}
{' Yes': -0.0017875455, 'Yes': -6.458407, ' No': -8.900267, ' yes': -10.12842, ' The': -10.873537}
{' No': -0.11818949, ' Yes': -2.2244842, 'No': -6.1552224, ' The': -7.114565, 'Yes': -8.8402}
{' No': -0.11054105, ' Yes': -2.3602624, 'No': -4.759211, ' The': -7.7402496, 'Yes': -7.7852135}
{' Yes': -0.0036046717, 'Yes': -6.3180637, ' No': -6.555858, ' The': -8.582326, ' yes': -9.020643}
{' No': -0.08754407, ' Yes': -2.5694814, 'No': -5.123959, ' The': -7.7379003, '\n': -7.9816494}
{' Yes': -0.0019395242, 'Yes': -6.341062, ' yes': -9.230146, ' No': -9.809305, '\n': -11.896355}
{' Yes': -0.0033315686, 'Yes': -5.9899316, ' No': -7.2404866, ' yes': -9.855106, '\n': -10.856368}
{' No': -0.015351672, ' Yes': -4.691783, 'No': -5.2017856, ' The': -8.015988, ' Not': -9.419393}
{' Yes': -0.04461282, ' No': -3.2615964, 'Yes': -5.392263, 'No': -7.9608917, '\n': -8.747589}
{' Yes': -0.0021544807, 'Yes': -6.4476953, ' No': -7.9730463, ' The': -9.28053, ' yes': -9.449891}
{' Yes': -0.63634086, ' No': -0.76061994, 'No': -6.4698176, 'Yes': -6.9631324, ' The': -7.497691}
{' Yes': -0.0070371125, ' No': -5.139531, 'Yes': -6.9788194, ' yes': -9.259647, ' The': -9.387709}
{' Yes': -0.0011876241, 'Yes': -6.8857355, ' No': -9.584317, ' yes': -10.06158, ' The': -10.184409}
{' Yes': -0.05268915, ' No': -3.018925, 'Yes': -6.2228503, 'No': -8.570175, ' The': -9.326921}
{' Yes': -0.008969799, ' No': -5.3960795, 'Yes': -5.4871607, ' yes': -9.577012, '\n': -9.684293}
{' Yes': -0.005819154, 'Yes': -5.833694, ' No': -5.936271, ' The': -9.477271, '\n': -9.801781}
{' No': -0.017945822, ' Yes': -4.5834265, 'No': -4.9240394, '\n': -9.021467, ' ': -9.444535}
{' Yes': -0.0019162935, 'Yes': -6.4644156, ' No': -9.004941, ' The': -9.123513, '\n': -9.724433}
{' No': -0.6563104, ' Yes': -0.7486051, 'No': -5.415744, 'Yes': -6.4113035, ' The': -7.103532}
{' Yes': -0.002121211, 'Yes': -6.191886, ' yes': -10.062157, '\n': -10.962846, ' ': -11.907444}
{' Yes': -0.002595233, 'Yes': -5.9749002, ' yes': -10.29429, '\n': -12.039582, ' ': -12.473003}
{' Yes': -0.0027059128, 'Yes': -6.224091, ' No': -7.512162, ' The': -9.1614275, ' yes': -10.196099}
{' Yes': -0.41499147, ' No': -1.0929605, 'No': -6.3406234, 'Yes': -6.513705, ' The': -7.189478}
{' Yes': -0.00807932, ' No': -5.2254043, 'Yes': -6.045528, ' The': -8.912475, ' yes': -9.458316}
{' Yes': -0.003325767, 'Yes': -5.7327795, ' yes': -10.182267, '\n': -10.902377, ' The': -11.635788}
{' No': -0.06549796, ' Yes': -2.8108363, 'No': -6.055228, '\n': -7.836587, ' ': -8.921401}
{' Yes': -0.046252035, ' No': -3.1551325, 'Yes': -6.232255, 'No': -8.583929, '\n': -8.933188}
{' No': -0.05192097, ' Yes': -3.2151954, 'No': -4.6081266, 'Yes': -8.365055, ' The': -9.327848}
{' No': -0.42709872, ' Yes': -1.0726292, 'No': -5.580638, 'Yes': -6.840963, '\n': -8.076627}
{' Yes': -0.002441962, 'Yes': -6.2898793, ' No': -8.0209875, ' The': -9.423704, ' yes': -9.453411}
{' Yes': -0.2582291, ' No': -1.4917306, 'Yes': -6.579317, 'No': -7.1221128, ' The': -8.519459}
{' Yes': -0.007488123, 'Yes': -5.384523, ' No': -5.976321, ' The': -8.60529, ' yes': -9.405381}
{' Yes': -0.072574474, ' No': -2.763088, 'Yes': -5.11601, 'No': -7.632804, ' The': -8.450044}
{' Yes': -0.13347869, ' No': -2.1119008, 'Yes': -6.0480003, 'No': -7.3334947, ' The': -7.398672}
{' Yes': -0.3687095, ' No': -1.195711, 'Yes': -5.9352736, 'No': -6.0604873, ' The': -7.598083}
{' Yes': -0.0019174875, 'Yes': -6.350975, ' yes': -9.482048, ' The': -10.144484, ' No': -10.407967}
{' Yes': -0.0056790547, 'Yes': -5.304944, ' No': -7.6631193, ' yes': -9.419179, '\n': -9.48025}
{' Yes': -0.0014737489, 'Yes': -6.5554843, ' yes': -10.14778, '\n': -12.620132, ' YES': -12.654518}
{' Yes': -0.001704611, 'Yes': -6.407176, ' yes': -10.243312, ' The': -12.177285, ' YES': -12.336745}
{' Yes': -0.0018073115, 'Yes': -6.434453, ' No': -8.952844, ' yes': -10.207326, ' The': -11.009986}
{' Yes': -0.0027060332, 'Yes': -6.4355516, ' No': -7.0340285, ' The': -9.223697, ' yes': -9.697955}
{' Yes': -0.0011051551, 'Yes': -6.9015217, ' yes': -9.751085, ' The': -10.979618, ' No': -11.8730955}
{' Yes': -0.001614876, 'Yes': -6.78728, ' No': -8.043028, ' yes': -9.834821, ' The': -10.060116}
{' Yes': -0.0013630259, 'Yes': -6.7088923, ' yes': -9.889827, ' No': -10.2544775, ' The': -10.456178}
{' Yes': -0.0009911916, 'Yes': -7.024556, ' yes': -10.032458, ' The': -10.110242, ' No': -11.855375}
{' Yes': -0.001963409, 'Yes': -6.363932, ' No': -9.116954, '\n': -10.111845, ' yes': -10.135092}
{' Yes': -0.08346325, ' No': -2.5562224, 'Yes': -6.460979, ' The': -8.017392, 'No': -8.083831}
{' Yes': -0.54447144, ' No': -0.87346226, ' The': -7.267291, 'Yes': -7.3153543, 'No': -7.3281097}
{' Yes': -0.011545617, ' No': -4.6591434, 'Yes': -6.3540173, ' yes': -9.0992565, ' The': -9.430868}
{' Yes': -0.0016651436, 'Yes': -6.489231, ' yes': -9.43531, ' No': -10.781834, ' The': -11.115992}
{' Yes': -0.0036615622, ' No': -6.341346, 'Yes': -6.361434, ' yes': -9.456462, '\n': -10.3537245}
{' Yes': -0.0062531848, ' No': -5.4973783, 'Yes': -6.2915998, ' Not': -9.2138, ' The': -9.80637}
{' Yes': -0.0072639138, ' No': -5.122397, 'Yes': -6.892374, ' The': -8.889177, ' yes': -9.980291}
{' Yes': -0.001672846, 'Yes': -6.432672, ' yes': -10.13559, ' The': -11.877617, '\n': -11.96479}
{' Yes': -0.0015660999, 'Yes': -6.503389, ' yes': -10.174196, ' No': -11.413393, '\n': -12.109779}
{' Yes': -0.0014377565, 'Yes': -6.596359, ' yes': -10.426602, ' The': -11.188786, ' No': -11.292315}
{' Yes': -0.0031023638, ' No': -6.3881993, 'Yes': -6.686961, ' yes': -9.810088, ' The': -9.887776}
{' Yes': -0.059092388, ' No': -2.947545, 'Yes': -5.57306, 'No': -7.640143, ' The': -7.9141655}
{' No': -0.0897174, ' Yes': -2.5385258, 'No': -5.1071734, 'Yes': -8.027629, ' The': -8.758052}
{' No': -0.1459067, ' Yes': -2.024893, 'No': -5.945633, ' The': -7.953274, 'Yes': -8.028252}
{' Yes': -0.008166208, 'Yes': -5.4112687, ' No': -5.66305, ' yes': -9.615882, ' The': -10.174174}
{' Yes': -0.0019582137, 'Yes': -6.279008, ' yes': -9.838969, ' The': -11.361994, '\n': -11.826394}
{' Yes': -0.003331689, 'Yes': -6.1715007, ' No': -6.980129, ' yes': -9.047053, ' The': -9.442504}
{' Yes': -0.00251211, 'Yes': -6.569433, ' No': -7.1387477, ' The': -8.722673, ' yes': -9.60845}
{' Yes': -0.3406706, ' No': -1.256978, 'Yes': -6.2074194, 'No': -6.437005, ' The': -8.11439}
{' Yes': -0.12202573, ' No': -2.191907, 'Yes': -6.095742, 'No': -7.3809214, ' The': -9.070821}
{' Yes': -0.18727183, ' No': -1.7939861, 'Yes': -6.11002, 'No': -6.998671, ' The': -7.0071797}
{' Yes': -0.019198395, ' No': -4.195674, 'Yes': -5.691952, '\n': -8.406596, 'No': -9.128628}
{' Yes': -0.0047246558, 'Yes': -5.738636, ' No': -6.6086597, ' yes': -9.686243, ' The': -10.116831}
{' Yes': -0.013685436, ' No': -4.7559342, 'Yes': -5.510332, '\n': -7.6769223, ' The': -9.070374}
{' Yes': -0.054775447, ' No': -2.9834347, 'Yes': -6.220576, ' The': -8.282481, 'No': -8.5354595}
{' Yes': -0.0013893503, 'Yes': -6.726904, ' No': -8.950094, ' yes': -10.434113, ' The': -10.98987}
{' Yes': -0.0033551906, 'Yes': -5.750702, ' No': -9.254223, ' yes': -10.532909, ' The': -10.673861}
{' Yes': -0.054335892, ' No': -2.978576, 'Yes': -6.8424144, ' The': -7.653398, ' Not': -9.099479}
{' No': -0.20197445, ' Yes': -1.7328678, 'No': -5.4650893, ' The': -7.2167296, 'Yes': -7.592656}
{' Yes': -0.002899697, 'Yes': -6.051604, '\n': -8.340368, ' yes': -8.878363, ' The': -9.433685}
{' Yes': -0.0020497132, 'Yes': -6.312037, ' No': -9.002469, ' The': -9.937955, ' yes': -10.383582}
{' Yes': -0.007960471, ' No': -5.0251684, 'Yes': -6.7416697, ' yes': -9.425038, ' The': -10.3916445}
{' Yes': -0.011385543, ' No': -4.656544, 'Yes': -6.393591, ' The': -9.849468, ' yes': -10.216337}
