{' No': -0.019491663, ' Yes': -4.188889, 'No': -5.6951966, ' The': -7.8454537, '\n': -8.467041}
{' No': -0.43545005, ' Yes': -1.0627389, 'No': -5.372458, 'Yes': -6.555182, '\n': -7.4265823}
{' Yes': -0.130422, ' No': -2.1361554, 'Yes': -5.9865503, 'No': -7.1400137, ' The': -7.6487403}
{' No': -0.01564454, 'No': -4.3266454, ' Yes': -6.3292313, ' The': -8.513836, '\n': -8.910473}
{' No': -0.08113546, ' Yes': -2.7042415, 'No': -5.034352, '\n': -6.2361126, ' The': -6.5165505}
{' No': -0.16919085, ' Yes': -1.9178519, 'No': -4.946023, 'Yes': -7.36657, ' The': -7.8055525}
{' No': -0.016503196, 'No': -4.5743494, ' Yes': -5.1747026, '\n': -8.953217, ' Not': -9.410042}
{' No': -0.56738377, ' Yes': -0.85591215, 'No': -5.4691877, ' The': -6.4376287, 'Yes': -6.4701357}
{' Yes': -0.6834984, ' No': -0.71281815, 'No': -5.8986125, 'Yes': -6.5488143, ' The': -8.034253}
{' No': -0.017851945, 'No': -4.138541, ' Yes': -6.540706, ' The': -8.9630575, ' Not': -9.943308}
{' No': -0.10602799, ' Yes': -2.371834, 'No': -5.0802503, 'Yes': -7.8410125, ' The': -8.263515}
{' No': -0.07770446, ' Yes': -2.7093172, 'No': -4.9456377, ' The': -7.6087956, 'Yes': -8.271509}
{' No': -0.021135356, ' Yes': -4.166731, 'No': -5.2899513, ' The': -9.012644, ' Not': -9.305983}
{' No': -0.05171676, ' Yes': -3.379876, 'No': -4.247193, ' The': -7.013279, '\n': -7.883909}
{' No': -0.29878613, ' Yes': -1.3923911, 'No': -5.143884, ' The': -6.470987, 'Yes': -6.937507}
{' No': -0.3867704, ' Yes': -1.1506101, 'No': -5.9844184, 'Yes': -7.28762, ' Not': -7.3071322}
{' Yes': -0.18463494, ' No': -1.8045269, 'Yes': -6.0890956, 'No': -6.9719462, ' The': -7.7362933}
{' No': -0.059870206, ' Yes': -3.0227664, 'No': -4.8532715, ' The': -7.1396275, ' Not': -8.076572}
{' No': -0.011165217, 'No': -4.701616, ' Yes': -6.3998866, '\n': -9.000691, ' The': -9.097936}
{' No': -0.063486576, ' Yes': -3.1768382, 'No': -3.9829564, 'Yes': -7.651786, '\n': -8.433409}
{' No': -0.016728217, ' Yes': -4.7400746, 'No': -4.878052, '\n': -9.211251, 'Yes': -10.195835}
{' Yes': -0.1637714, ' No': -1.9154327, 'Yes': -6.21617, 'No': -7.259314, ' The': -7.8348966}
{' No': -0.018016823, 'No': -4.032814, ' The': -10.121548, '\n': -10.584543, ' Not': -10.781153}
{' No': -0.020867893, 'No': -3.8910728, ' The': -9.799359, '\n': -9.924138, ' Not': -10.031981}
{' No': -0.05354985, ' Yes': -3.1663237, 'No': -4.7194605, ' The': -7.6891994, ' Not': -8.335426}
{' No': -0.012962455, 'No': -4.4848533, ' Yes': -6.6941643, ' The': -8.667688, '\n': -9.599218}
{' Yes': -0.035178702, ' No': -3.4606984, 'Yes': -6.0303507, ' The': -7.9422464, 'No': -8.695334}
{' No': -0.06176713, ' Yes': -3.0136616, 'No': -4.6146502, ' The': -8.030929, 'Yes': -8.1153755}
{' No': -0.060179643, ' Yes': -3.0429695, 'No': -4.6454344, '\n': -8.015406, 'Yes': -8.218318}
{' No': -0.01499348, 'No': -4.395513, ' Yes': -6.052554, ' The': -9.588607, ' Not': -10.1468935}
{' No': -0.2909742, ' Yes': -1.4032675, 'No': -5.44224, 'Yes': -7.0431156, ' Not': -7.32481}
{' Yes': -0.20451415, ' No': -1.7309767, 'Yes': -5.428379, 'No': -6.3240094, ' The': -7.3752537}
{' Yes': -0.00410567, ' No': -6.185622, 'Yes': -6.3515534, ' The': -8.77694, ' yes': -9.501006}
{' No': -0.014276514, ' Yes': -4.898094, 'No': -5.081558, ' The': -8.3243885, ' Not': -9.195911}
{' Yes': -0.116764255, ' No': -2.2784996, 'Yes': -5.4488525, 'No': -6.255726, ' The': -7.259339}
{' No': -0.02591601, 'No': -3.7185276, ' Yes': -7.1368876, ' The': -8.381839, ' Not': -9.027717}
{' No': -0.09815278, ' Yes': -2.5119271, 'No': -4.889096, '\n': -6.402066, ' The': -6.666264}
{' No': -0.033627737, ' Yes': -3.6591332, 'No': -5.042392, ' The': -8.068278, ' Not': -8.13289}
{' No': -0.0039391206, 'No': -5.5651855, ' ': -10.266893, ' Yes': -10.879364, '\n': -10.934813}
{' No': -0.022958836, 'No': -3.8198295, ' Yes': -7.622297, ' The': -9.171641, '\n': -9.73971}
{' No': -0.15221338, ' Yes': -2.0535004, 'No': -4.505679, ' The': -7.1168866, 'Yes': -7.3514543}
{' No': -0.07115929, ' Yes': -2.8888397, 'No': -4.5204577, ' The': -6.7073803, 'Yes': -8.174442}
{' No': -0.0070497766, 'No': -5.098507, ' Not': -7.6925464, ' Yes': -8.007342, ' The': -9.393928}
{' No': -0.0076403683, 'No': -4.927385, ' Yes': -8.949582, ' The': -9.343043, '\n': -9.676781}
{' No': -0.07378772, ' Yes': -2.7456589, 'No': -5.100075, ' The': -7.9569454, 'Yes': -8.56905}
{' No': -0.012532502, ' Yes': -5.008334, 'No': -5.2202196, ' The': -8.7630825, '\n': -9.344276}
{' No': -0.10520635, ' Yes': -2.4271038, 'No': -4.812224, '\n': -6.6252213, ' The': -7.0382485}
{' No': -0.024807015, 'No': -4.3162074, ' Yes': -4.6497154, ' Not': -7.0343246, ' The': -7.721161}
{' No': -0.0173274, 'No': -4.740712, ' Yes': -4.85262, ' Not': -8.438701, ' The': -8.888778}
{' No': -0.09018865, ' Yes': -2.5894866, 'No': -4.642843, 'Yes': -7.659614, ' The': -7.703481}
{' No': -0.02210091, ' Yes': -4.2541294, 'No': -4.990467, ' The': -7.952976, ' Not': -8.278328}
{' No': -0.14688438, ' Yes': -2.0583262, 'No': -5.070201, ' Not': -6.8816867, ' The': -6.9214907}
{' Yes': -0.49198657, ' No': -0.9705614, 'No': -5.295499, 'Yes': -5.682868, ' The': -7.65639}
{' No': -0.024132201, ' Yes': -4.1579995, 'No': -4.861048, ' The': -8.694239, '\n': -9.396559}
{' Yes': -0.6097724, ' No': -0.8000877, 'No': -5.6000004, 'Yes': -6.035086, ' The': -7.4439583}
{' No': -0.08307793, ' Yes': -2.6122909, 'No': -5.25809, ' The': -7.840278, 'Yes': -8.18259}
{' No': -0.012849486, 'No': -4.413173, ' The': -8.241246, ' Yes': -8.572531, '\n': -9.9593315}
{' No': -0.0101897335, 'No': -4.694758, ' Yes': -7.25251, ' The': -9.228054, '\n': -9.464077}
{' Yes': -0.0061611226, ' No': -5.441187, 'Yes': -6.576723, ' The': -8.128517, ' yes': -9.828062}
{' Yes': -0.23080462, ' No': -1.5979387, 'Yes': -6.3984714, 'No': -6.8366084, ' The': -7.5523353}
{' Yes': -0.034915917, ' No': -3.4855175, 'Yes': -5.767358, 'No': -8.444088, ' The': -9.08323}
{' No': -0.03644806, ' Yes': -3.6607232, 'No': -4.6996884, ' The': -8.114426, '\n': -8.369055}
{' Yes': -0.45687267, ' No': -1.0179307, 'No': -6.3598948, 'Yes': -6.573042, ' The': -6.8181543}
