{' Yes': -0.0048690545, 'Yes': -5.7965517, ' No': -6.421077, ' The': -9.055835, ' yes': -10.524884}
{' Yes': -0.0017044907, 'Yes': -6.3963513, ' yes': -10.894616, ' The': -11.695546, ' ': -12.719021}
{' No': -0.35556063, ' Yes': -1.2567161, 'No': -4.602148, 'Yes': -6.0109496, ' The': -7.0360775}
{' Yes': -0.0015318318, 'Yes': -7.1271987, ' No': -7.306866, ' Stop': -10.998005, ' The': -11.315654}
{' Yes': -0.006064211, 'Yes': -5.198519, ' No': -7.8284993, ' ': -9.637291, ' yes': -10.676815}
{' Yes': -0.0014519647, 'Yes': -6.874752, ' No': -7.9364643, ' The': -10.216631, ' yes': -11.221793}
{' No': -0.5616722, ' Yes': -0.86823636, 'No': -5.2638144, 'Yes': -6.2613287, ' Not': -6.585471}
{' Yes': -0.0011805231, 'Yes': -6.833316, ' No': -9.689633, ' The': -10.943938, ' yes': -10.947984}
{' Yes': -0.0045378837, 'Yes': -5.4743423, ' No': -8.870195, ' Wife': -8.890155, ' yes': -10.874955}
{' Yes': -0.40870377, ' No': -1.1009378, 'Yes': -6.5658345, 'No': -6.726693, ' The': -8.453103}
{' Yes': -0.0008586279, 'Yes': -7.2341914, ' yes': -9.931971, ' The': -10.200533, ' No': -11.002952}
{' Yes': -0.0012920629, 'Yes': -6.768645, ' No': -9.357267, ' The': -10.590296, ' yes': -10.846521}
{' Yes': -0.023764322, ' No': -3.8891053, 'Yes': -5.9620404, ' The': -9.014761, 'No': -9.260978}
{' Yes': -0.0041081854, 'Yes': -5.660468, ' No': -7.548856, ' yes': -10.083423, ' ': -10.840486}
{' Yes': -0.00093296246, 'Yes': -7.0497932, ' The': -10.39682, ' yes': -10.76301, ' No': -12.055583}
{' No': -0.43701166, ' Possible': -2.3175764, 'No': -2.5867221, ' Yes': -2.6079986, ' Bank': -4.28106}
{' Yes': -0.0031609617, ' No': -6.0740867, 'Yes': -7.184728, ' yes': -10.211939, ' The': -10.561874}
{' Yes': -0.010512059, ' No': -4.824794, 'Yes': -6.2092137, ' The': -8.377294, ' Not': -9.382009}
{' Yes': -0.0022805864, 'Yes': -6.103458, ' The': -10.90426, ' yes': -11.0192, ' No': -12.675529}
{' Yes': -0.0012785153, 'Yes': -6.694012, ' yes': -10.653519, ' The': -11.295218, ' YES': -13.798582}
{' Yes': -0.019469544, ' No': -4.2026763, 'Yes': -5.5559907, ' The': -8.356574, 'No': -9.220309}
{' Yes': -0.004892655, 'Yes': -5.608442, ' No': -6.8682384, ' yes': -9.636419, ' The': -10.028357}
{' No': -0.011541335, 'No': -4.9241447, ' Yes': -5.545934, ' Not': -8.621998, ' Unfortunately': -10.14271}
{' Yes': -0.0031658052, 'Yes': -5.9330664, ' No': -7.675025, ' yes': -11.12773, ' The': -11.201893}
{' Yes': -0.066397846, ' No': -2.7665167, 'Yes': -7.3039103, ' The': -7.663226, 'No': -9.245452}
{' Yes': -0.0023614792, 'Yes': -6.358778, ' No': -7.4944587, ' yes': -10.403683, ' The': -11.137917}
{' Yes': -0.0007460621, 'Yes': -7.236686, ' yes': -10.981611, ' The': -12.420452, ' ': -13.313267}
{' Yes': -0.0017083121, 'Yes': -6.5211973, ' No': -8.625468, ' The': -10.415038, ' yes': -11.171117}
{' Yes': -0.0017427023, 'Yes': -6.4742217, ' The': -9.092179, ' No': -9.814553, ' yes': -10.942027}
{' Yes': -0.0015301609, 'Yes': -6.5373874, ' The': -9.943258, ' yes': -10.733408, ' YES': -12.8007965}
{' Yes': -0.0210634, 'Yes': -3.9178185, ' No': -6.9967103, 'No': -10.959652, ' yes': -12.023526}
{' Yes': -0.0057173604, ' No': -5.515792, 'Yes': -6.4598603, ' The': -9.534184, ' yes': -11.392056}
{' Yes': -0.0014313709, 'Yes': -6.620486, ' The': -10.193978, ' yes': -10.198296, ' ': -11.26345}
{' Yes': -0.0013239939, 'Yes': -6.6536865, ' yes': -11.117667, ' No': -11.543639, ' ': -12.4442625}
{' Yes': -0.0012957631, 'Yes': -6.7610307, ' The': -9.939924, ' Dirt': -10.146868, ' yes': -10.630106}
{' Yes': -0.033220854, ' No': -3.502339, 'Yes': -6.1910825, ' The': -8.434057, 'No': -8.9001255}
{' Yes': -0.0015224022, 'Yes': -6.5869164, ' The': -9.170406, ' yes': -10.47171, ' No': -12.880926}
{' Yes': -0.12224434, ' No': -2.1869092, 'Yes': -6.2227235, 'No': -7.68912, ' ': -9.386856}
{' False': -0.021312466, ' No': -4.165439, 'False': -5.257946, 'No': -8.078355, ' ': -10.108637}
{' No': -0.010220987, 'No': -4.605293, ' Yes': -8.886426, ' Not': -11.442217, ' ': -11.529424}
{' Yes': -0.002639098, 'Yes': -6.0592604, ' Rain': -8.532449, ' The': -10.155168, ' yes': -10.520343}
{' Yes': -0.003952169, 'Yes': -5.7012153, ' Rain': -7.9294314, ' No': -8.720408, ' yes': -10.570922}
{' No': -0.004372221, 'No': -5.5967584, ' Yes': -7.906565, ' ': -9.390399, ' Not': -9.545699}
{' No': -0.0045232745, 'No': -5.4530115, ' Yes': -8.539791, ' ': -11.303268, ' Not': -11.597679}
{' Yes': -0.006077403, 'Yes': -5.8696537, ' No': -5.920967, ' Sure': -8.074722, ' Absolutely': -8.90151}
