{' Yes': -0.0025378054, 'Yes': -6.061555, ' yes': -9.673789, '\n': -9.904489, ' Spider': -10.603524}
{' Yes': -0.0015821593, 'Yes': -7.070079, ' No': -7.3350916, '\n': -10.254039, ' yes': -11.1795025}
{' Yes': -0.0025447956, ' No': -6.436483, 'Yes': -7.0395427, ' Sure': -10.790461, ' yes': -10.975521}
{' Yes': -0.0019997235, 'Yes': -6.5249906, ' No': -8.082562, ' Candle': -9.669861, ' Sure': -9.804143}
{' Yes': -0.002510914, 'Yes': -6.313805, ' No': -7.6838536, ' Th': -9.841104, ' Thr': -9.923573}
{' Yes': -0.0029965402, 'Yes': -6.452898, ' No': -6.7027626, ' yes': -9.624819, '\n': -9.839408}
{' Yes': -0.008675448, ' No': -5.0630636, 'Yes': -6.1342225, ' yes': -9.870412, 'No': -10.419509}
{' Yes': -0.0015633535, 'Yes': -6.5690312, ' No': -9.585299, ' yes': -10.101021, '\n': -10.741172}
{' Yes': -0.0014268334, 'Yes': -6.6082916, ' yes': -10.678345, ' No': -10.766583, '\n': -10.89536}
{' Yes': -0.0024041398, 'Yes': -6.2184877, ' No': -8.76258, ' yes': -9.267046, ' Flower': -9.928055}
{' Yes': -0.09203629, ' No': -2.4583387, 'Yes': -6.227732, 'No': -8.437371, ' yes': -9.786912}
{' Yes': -0.005923836, ' No': -5.4242473, 'Yes': -6.555486, ' yes': -10.688899, '\n': -11.27412}
{' Yes': -0.24081516, ' No': -1.832202, ' Indian': -3.08817, ' India': -5.6388364, 'Yes': -5.991364}
{' No': -0.07529854, ' Yes': -2.7147257, 'No': -5.5942326, ' Indian': -6.5209403, ' India': -8.101136}
{' Yes': -0.12630583, ' Orange': -2.2372773, ' No': -4.6733656, 'Yes': -6.172051, 'Orange': -9.189328}
{' Yes': -0.0017428225, 'Yes': -6.730138, ' No': -7.7389216, ' Orange': -10.546271, ' Sure': -10.743407}
{' Yes': -0.004719205, 'Yes': -5.805847, ' Hungry': -6.5182176, ' YES': -9.978795, ' yes': -10.19738}
{' Yes': -0.0031958804, ' No': -6.3990636, 'Yes': -6.553614, ' YES': -10.48989, ' yes': -10.751497}
{' Yes': -0.59181815, ' No': -0.81092864, 'Yes': -7.020373, 'No': -7.056978, '\n': -8.355083}
{' No': -0.503395, ' Yes': -0.9508093, ' Number': -5.533279, 'No': -5.9307075, 'Yes': -6.5799727}
{' Yes': -0.5626512, ' No': -1.5117059, ' Mirror': -1.6685739, ' Mir': -4.1616497, 'Yes': -6.4625773}
{' Yes': -0.29110345, ' No': -1.3946667, ' Mirror': -5.7783947, 'Yes': -7.3922763, 'No': -7.792919}
{' Yes': -0.00061406806, 'Yes': -7.471584, ' yes': -10.731085, ' YES': -11.016655, '\n': -12.958446}
{' Yes': -0.0009316502, 'Yes': -7.0258393, ' yes': -11.098261, ' YES': -11.412054, '\n': -11.727875}
{' Yes': -0.010694646, ' No': -5.3663826, 'Yes': -5.679912, ' Pepper': -6.2860866, ' Pe': -8.143256}
{' Yes': -0.06733795, ' No': -2.8173623, 'Yes': -5.876637, ' Pe': -6.8966703, ' Pepper': -7.3721056}
{' Yes': -0.002446261, 'Yes': -6.1037526, ' No': -9.217519, ' yes': -10.479196, ' Cheese': -10.797635}
{' Yes': -0.0013452994, 'Yes': -6.707268, ' No': -9.934605, ' Sure': -10.731084, '\n': -11.094954}
{' Yes': -0.0058119614, 'Yes': -5.8000913, ' No': -6.543989, ' Neph': -7.613674, ' Nope': -8.35041}
{' Yes': -0.0025779027, 'Yes': -6.311718, ' No': -7.46304, ' Yep': -9.432543, '\n': -10.257749}
{' Yes': -0.095089175, ' Sure': -2.7177181, ' Square': -4.824333, ' Squ': -4.831724, ' No': -5.154213}
{' Yes': -0.27780694, ' Sure': -1.654451, ' Squ': -3.342447, ' No': -4.9476485, ' Square': -5.3404727}
{' Yes': -0.0010025869, 'Yes': -7.044493, ' Sure': -9.70661, '\n': -10.8482895, ' yes': -11.266398}
{' Yes': -0.0033008899, 'Yes': -6.3511324, ' No': -6.90541, ' Change': -7.705931, '\n': -10.492938}
{' Yes': -0.010259828, ' No': -4.927702, 'Yes': -5.878156, '\n': -9.83529, ' yes': -10.379129}
{' Yes': -0.006034707, 'Yes': -5.358852, ' No': -6.7342033, ' yes': -10.3437805, ' YES': -10.508317}
{' Yes': -0.37424806, ' Ending': -1.2101054, ' No': -4.595153, 'Yes': -5.8452063, ' End': -7.982657}
{' Yes': -0.0326372, ' Ending': -3.9157755, ' No': -4.689881, 'Yes': -5.8983192, '\n': -9.8469925}
{' Yes': -0.42601904, ' Energy': -1.0694517, 'Yes': -6.2741866, 'Energy': -6.9162436, ' energy': -8.414737}
