{' No': -0.032526918, ' Yes': -3.841517, 'No': -4.6175275, '\n': -8.260648, 'Yes': -9.013032}
{' No': -0.03861582, ' Yes': -3.7952685, 'No': -4.244764, '\n': -8.013807, ' The': -8.113233}
{' No': -0.014566166, 'No': -4.658855, ' Yes': -5.50444, ' The': -7.6862845, ' Not': -8.549943}
{' No': -0.012930213, 'No': -4.491818, ' Yes': -6.515747, ' The': -9.318014, ' Not': -10.724443}
{' Yes': -0.018435964, ' No': -4.215282, 'Yes': -5.782071, ' The': -8.505065, ' yes': -9.502088}
{' Yes': -0.2914476, ' No': -1.3895329, 'Yes': -6.184941, 'No': -6.854414, ' The': -8.346218}
{' No': -0.010283975, 'No': -5.087474, ' Yes': -5.6277, '\n': -8.996949, ' The': -9.04086}
{' No': -0.5433408, ' Yes': -0.88092995, 'No': -6.1145325, 'Yes': -6.8781104, ' The': -7.070543}
{' No': -0.036176715, 'No': -3.9851284, ' Yes': -4.1122074, ' The': -8.544043, 'Yes': -8.769899}
{' No': -0.011013637, 'No': -5.0493665, ' Yes': -5.43269, ' The': -9.311338, ' ': -10.695319}
{' No': -0.014067885, 'No': -4.4131956, ' Yes': -6.4148393, '\n': -9.497933, ' ': -10.185575}
{' No': -0.09001267, ' Yes': -2.6021779, 'No': -4.5670996, ' The': -7.161435, 'Yes': -7.787329}
{' No': -0.12097073, ' Yes': -2.2439585, 'No': -5.0376253, ' The': -7.491753, 'Yes': -7.506743}
{' No': -0.0606062, ' Yes': -2.9240646, 'No': -5.4806542, ' The': -7.7506785, 'Yes': -8.659174}
{' Yes': -0.64502114, ' No': -0.7570454, 'No': -5.8039236, 'Yes': -6.4742103, ' "': -7.391464}
{' No': -0.012746371, ' Yes': -4.9698176, 'No': -5.2648005, '\n': -8.46725, ' The': -8.559842}
{' No': -0.035973787, ' Yes': -3.573474, 'No': -5.108796, '\n': -7.34744, ' The': -8.515948}
{' No': -0.007834866, 'No': -5.45362, ' Yes': -5.724002, ' The': -9.438548, '\n': -9.464635}
{' No': -0.6361931, ' Yes': -0.7717618, 'No': -5.481467, ' The': -6.2231336, 'Yes': -6.586712}
{' No': -0.010666213, 'No': -4.7896786, ' Yes': -6.208397, ' The': -8.927158, ' Not': -9.909462}
{' No': -0.45229182, ' Yes': -1.0217346, 'No': -6.0671177, 'Yes': -7.1542954, ' The': -7.8827057}
{' No': -0.11507385, ' Yes': -2.28318, 'No': -5.130981, 'Yes': -7.825429, ' The': -8.745745}
{' Yes': -0.07857884, ' No': -2.6551971, 'Yes': -5.432533, 'No': -7.22014, ' The': -9.968426}
{' No': -0.012761464, 'No': -4.8441324, ' Yes': -5.395005, ' The': -8.676785, ' Not': -10.462235}
{' No': -0.02562128, ' Yes': -4.106897, 'No': -4.864309, ' The': -7.8446555, '\n': -7.930347}
{' No': -0.05173295, ' Yes': -3.2476728, 'No': -4.5983233, ' The': -7.270086, 'Yes': -8.413642}
{' No': -0.65812796, ' Yes': -0.7411606, 'No': -5.7688127, 'Yes': -6.5185685, '\n': -7.587279}
{' No': -0.10934529, ' Yes': -2.3876753, 'No': -4.59817, 'Yes': -7.5436025, '\n': -7.7358437}
{' No': -0.24658866, ' Yes': -1.5388079, 'No': -6.102301, ' The': -6.9664316, 'Yes': -7.85604}
{' No': -0.006983749, 'No': -5.182002, ' Yes': -6.9041214, ' The': -8.946564, ' "': -9.644826}
{' No': -0.039138705, ' Yes': -3.6918008, 'No': -4.391983, '\n': -7.8113227, ' The': -8.00989}
{' No': -0.008220715, 'No': -5.139126, ' Yes': -6.15275, ' The': -9.566748, '\n': -9.815027}
{' Yes': -0.0030269725, 'Yes': -5.873728, ' No': -9.095863, ' yes': -9.865255, ' The': -10.608797}
{' No': -0.62751436, ' Yes': -0.77416855, 'No': -5.757241, 'Yes': -6.651163, ' The': -8.175961}
{' No': -0.04143522, ' Yes': -3.4279077, 'No': -4.91134, ' The': -7.9939685, 'Yes': -8.734652}
{' No': -0.010111699, 'No': -4.615779, ' The': -9.829901, ' Yes': -9.87414, '\n': -10.915415}
{' No': -0.0969538, ' Yes': -2.4494472, 'No': -5.23413, 'Yes': -7.954959, ' Not': -9.13906}
{' Yes': -0.33278003, ' No': -1.295087, 'Yes': -5.3404117, 'No': -5.5873384, ' The': -7.685626}
{' Yes': -0.004079338, 'Yes': -6.102655, ' No': -6.417709, ' The': -9.386392, ' yes': -9.575581}
{' No': -0.0077539505, 'No': -5.16474, ' Yes': -6.4944863, ' Not': -8.538927, '\n': -9.255558}
{' No': -0.0163021, 'No': -4.8054595, ' Yes': -4.8678164, ' Not': -9.253003, ' The': -9.472965}
{' No': -0.04020258, ' Yes': -3.4509935, 'No': -4.9735866, ' The': -7.7039843, 'Yes': -8.975165}
{' Yes': -0.35251868, ' No': -1.2265518, 'Yes': -6.2768116, 'No': -6.850125, '\n': -7.8960686}
{' No': -0.51088005, ' Yes': -0.932879, 'No': -5.9029756, 'Yes': -6.4837823, ' The': -6.548727}
{' No': -0.011545015, 'No': -5.1810985, ' Yes': -5.2370143, ' The': -8.090666, ' Not': -9.270485}
{' No': -0.01785741, 'No': -4.0629926, ' Yes': -8.430352, ' The': -8.901745, '\n': -9.914417}
{' Yes': -0.005928095, 'Yes': -5.823082, ' No': -5.9359374, '\n': -9.059912, ' yes': -9.135168}
{' No': -0.6493822, ' Yes': -0.75857025, 'No': -5.2179837, 'Yes': -6.1344604, ' Not': -7.1543984}
{' No': -0.025583183, ' Yes': -3.9235666, 'No': -5.7996516, '\n': -6.405084, ' The': -7.828529}
{' No': -0.05791808, ' Yes': -2.928243, 'No': -6.0765047, ' The': -8.511243, 'Yes': -8.671447}
{' No': -0.099573284, ' Yes': -2.4351084, 'No': -5.13489, ' The': -7.7598457, 'Yes': -7.958912}
{' No': -0.0061735976, 'No': -5.286794, ' Yes': -7.098859, '\n': -9.290061, ' The': -9.827935}
{' Yes': -0.5774437, ' No': -0.83723605, 'No': -6.3783503, 'Yes': -6.3970766, '\n': -6.803102}
{' No': -0.017759295, ' Yes': -4.3542213, 'No': -5.481788, ' The': -8.372319, '\n': -8.684091}
{' No': -0.21597274, ' Yes': -1.6695098, 'No': -5.356857, 'Yes': -7.4172816, '\n': -8.67174}
{' No': -0.016938493, ' Yes': -4.649846, 'No': -4.991231, ' The': -8.380664, '\n': -9.447183}
{' No': -0.03395332, ' Yes': -3.6229043, 'No': -5.239901, ' The': -7.1370025, ' Not': -8.097349}
{' No': -0.012670247, ' Yes': -4.75135, 'No': -5.650377, ' The': -8.020645, ' Not': -9.966589}
{' No': -0.14559922, ' Yes': -2.0288105, 'No': -5.7555447, 'Yes': -8.011338, '\n': -8.588394}
{' No': -0.029701464, ' Yes': -3.8140051, 'No': -5.0170574, '\n': -8.571119, 'Yes': -9.209797}
{' No': -0.034589272, ' Yes': -3.5272076, 'No': -5.6233926, ' The': -7.507371, '\n': -8.676019}
{' No': -0.018999122, ' Yes': -4.435774, 'No': -5.018667, '\n': -9.179388, ' The': -9.202723}
{' No': -0.661639, ' Yes': -0.7336262, 'No': -6.129542, 'Yes': -6.7028127, '\n': -8.752313}
{' Yes': -0.32251197, ' No': -1.3054488, 'Yes': -6.006998, 'No': -6.548229, ' The': -7.8171577}
{' No': -0.008320241, ' Yes': -5.358561, 'No': -5.729618, ' The': -8.874872, '\n': -9.21703}
{' No': -0.029377934, ' Yes': -3.7846534, 'No': -5.317839, ' Not': -7.256148, ' The': -8.022578}
{' No': -0.07443185, ' Yes': -2.7044938, 'No': -5.536556, ' The': -7.9307714, 'Yes': -8.791194}
{' No': -0.05545955, ' Yes': -3.117736, 'No': -4.791951, '\n': -7.8251677, ' The': -7.8621545}
{' No': -0.083262414, ' Yes': -2.5889444, 'No': -5.454104, 'Yes': -8.454402, ' The': -8.966895}
{' No': -0.014328693, 'No': -4.8233075, ' Yes': -5.1394906, ' The': -8.776704, '\n': -9.351929}
{' Yes': -0.21678507, ' No': -1.6550081, 'Yes': -6.314254, ' The': -7.1424494, 'No': -7.205932}
{' No': -0.5947905, ' Yes': -0.8176375, 'No': -5.6721106, 'Yes': -6.5489793, '\n': -6.9009233}
{' No': -0.029181289, ' Yes': -3.9495149, 'No': -4.6906095, 'Yes': -9.199551, ' The': -9.2119255}
{' No': -0.18748008, ' Yes': -1.8524334, 'No': -4.408681, 'Yes': -6.9574246, ' The': -7.4317727}
{' No': -0.009184225, 'No': -4.729534, ' Not': -9.324882, ' Yes': -9.587943, ' The': -9.704243}
{' No': -0.02223559, 'No': -3.8404882, ' Yes': -8.865429, '\n': -8.96614, ' The': -9.478377}
{' No': -0.04769979, ' Yes': -3.4735594, 'No': -4.236935, ' "': -8.069098, 'Yes': -8.191592}
{' No': -0.030346934, ' Yes': -4.0732107, 'No': -4.4118147, ' The': -8.1939535, '\n': -8.898595}
{' No': -0.01316977, ' Yes': -4.682088, 'No': -5.720458, ' The': -8.1927595, ' Not': -9.066568}
{' No': -0.11835567, ' Yes': -2.2662878, 'No': -5.1967955, ' The': -6.605383, '\n': -7.9089932}
{' No': -0.030796345, 'No': -4.0897827, ' Yes': -4.4191556, ' Not': -7.711272, ' The': -7.7450104}
{' No': -0.009534267, 'No': -4.710836, ' Yes': -8.836532, ' The': -9.153371, ' Not': -9.387437}
{' No': -0.010310412, 'No': -4.5888968, ' ': -10.475476, '\n': -10.692042, ' "': -10.87563}
{' No': -0.013584164, 'No': -4.3123035, '\n': -10.554313, ' ': -10.839718, ' The': -10.908818}
{' No': -0.054821342, ' Yes': -3.0612774, 'No': -5.1921005, ' The': -8.091686, ' Not': -8.496002}
{' No': -0.037491158, ' Yes': -3.429806, 'No': -5.5153294, ' The': -8.980174, 'Yes': -9.349567}
{' No': -0.17114933, ' Yes': -1.8876561, 'No': -5.5081015, ' The': -6.7829347, 'Yes': -7.998217}
{' No': -0.026052488, ' Yes': -4.000162, 'No': -5.021921, ' The': -7.8220706, ' "': -8.974659}
{' No': -0.007467045, 'No': -4.94638, ' Yes': -8.449987, '\n': -10.375108, ' The': -10.513083}
{' No': -0.008171439, 'No': -4.855482, ' Yes': -8.776804, '\n': -9.550951, ' The': -9.935484}
{' No': -0.36603826, ' Yes': -1.1976576, 'No': -5.739728, 'Yes': -7.109429, ' The': -8.338861}
{' No': -0.07657265, ' Yes': -2.7520506, 'No': -4.7193165, 'Yes': -7.9476624, ' Not': -8.24358}
{' No': -0.009239329, 'No': -4.9440193, ' Yes': -6.2762794, ' The': -9.49584, ' Not': -10.242012}
{' No': -0.008403965, ' Yes': -5.320198, 'No': -5.7990913, ' The': -8.200001, '\n': -9.743017}
{' No': -0.016893692, 'No': -4.202524, ' Yes': -6.453011, ' The': -9.37875, ' Not': -9.852301}
{' No': -0.014247916, 'No': -4.573242, ' Yes': -5.674962, '\n': -9.09974, ' The': -9.205419}
{' Yes': -0.4333019, ' No': -1.0566272, 'Yes': -6.5073123, 'No': -6.5921817, ' The': -7.353292}
{' No': -0.5408638, ' Yes': -0.8871201, 'No': -5.6525598, 'Yes': -6.673231, ' The': -7.3922043}
{' No': -0.007952302, 'No': -5.122103, ' Yes': -6.4780965, ' The': -8.575846, ' Not': -9.57284}
{' No': -0.003760754, 'No': -5.6517286, ' Yes': -9.369229, ' The': -10.006904, ' Not': -10.2533655}
{' No': -0.010207197, 'No': -5.1740656, ' Yes': -5.5216837, ' The': -8.297313, '\n': -9.093492}
{' No': -0.023592517, ' Yes': -4.393069, 'No': -4.57429, ' The': -8.195671, ' Not': -8.837475}
