{' Yes': -0.04511578, ' Generally': -3.6469321, ' No': -4.4161234, 'Yes': -5.597255, ' Typically': -7.983192}
{' Yes': -0.016251327, ' Generally': -4.8341227, 'Yes': -4.923733, ' yes': -8.682066, ' It': -8.719936}
{' Yes': -0.124258235, ' Generally': -2.290892, 'Yes': -5.5232487, ' On': -6.039535, ' In': -6.0474973}
{' Yes': -0.030627692, ' Generally': -3.8470697, 'Yes': -5.1553164, ' In': -7.4764214, ' It': -7.515273}
{' Yes': -0.42249513, ' No': -1.3603843, ' Generally': -3.3163152, 'No': -3.658987, 'Yes': -4.0749626}
{' Yes': -0.035792638, 'Yes': -3.8143475, ' Generally': -4.632575, ' No': -6.7471023, ' It': -7.8814573}
{' Yes': -0.064229175, ' Generally': -3.1589725, 'Yes': -4.4132147, ' No': -6.0518827, ' M': -6.694365}
{' Yes': -0.020156614, 'Yes': -4.270862, ' Generally': -5.357277, ' yes': -8.138692, ' ': -8.527986}
{' No': -0.59621716, ' Yes': -0.9713145, 'No': -3.1330118, 'Yes': -4.581343, ' Generally': -4.987376}
{' Yes': -0.025719, 'Yes': -3.905056, ' Generally': -6.0871034, ' No': -7.1178327, '\n': -7.625141}
{' Yes': -0.05611537, ' Generally': -3.9889386, 'Yes': -4.0555067, ' No': -4.8753195, ' M': -5.7421083}
{' Yes': -0.024125911, 'Yes': -3.9577997, ' Generally': -5.859567, ' M': -7.600704, ' ': -8.263935}
{' Yes': -0.08498984, ' No': -3.1580946, ' Generally': -3.5678658, 'Yes': -5.1413784, 'No': -6.7832046}
{' Yes': -0.012708642, 'Yes': -5.1373878, ' Generally': -5.2334437, ' No': -7.3974776, ' yes': -8.684416}
{' Yes': -0.116415985, ' Generally': -2.4052875, ' No': -5.077145, 'Yes': -5.1403413, ' M': -6.4158792}
{' Yes': -0.019584721, ' Generally': -4.524912, 'Yes': -4.945318, ' In': -8.075901, ' yes': -8.232978}
{' No': -0.29467678, 'No': -2.2231169, ' Yes': -2.4294422, ' Generally': -3.9306915, '\n': -4.406159}
{' No': -0.55892867, ' Yes': -1.4227421, 'No': -2.1707678, ' Generally': -3.576476, 'Yes': -4.4232435}
{' No': -0.80393046, ' Yes': -1.0997452, 'No': -2.4533446, ' Generally': -3.079918, ' M': -3.5864677}
{' Yes': -0.0797869, 'Yes': -2.8721755, ' No': -5.3561063, ' Generally': -5.410294, ' M': -5.96612}
{' Yes': -0.5874685, ' No': -1.0454019, ' Generally': -3.1810298, 'No': -3.706027, 'Yes': -4.5633693}
{' Yes': -0.037790716, 'Yes': -3.778944, ' Generally': -4.727936, ' No': -6.6435347, ' yes': -6.9135823}
{' Yes': -0.07578708, ' Generally': -3.3072398, 'Yes': -4.0455856, ' No': -4.746403, ' M': -5.767599}
{' Yes': -0.03214664, 'Yes': -3.730038, ' Generally': -5.3926735, ' yes': -6.6923947, ' ': -7.7099113}
{' Yes': -0.00947331, ' No': -5.4786043, 'Yes': -5.6665072, ' ': -7.3944182, ' yes': -7.5756507}
{' Yes': -0.005109027, 'Yes': -5.5770154, ' yes': -7.619797, ' ': -8.12309, '\n': -8.270757}
{' Yes': -0.006130836, 'Yes': -5.580658, ' Generally': -7.4574585, ' yes': -7.5458837, '\n': -7.6542187}
{' Yes': -0.0060919756, 'Yes': -5.6212893, '\n': -7.2569456, ' Generally': -7.317575, ' yes': -7.4287295}
{' No': -0.06916925, 'No': -2.8766968, '\n': -5.119254, ' ': -6.0038404, ' A': -7.377732}
{' No': -0.66634643, ' Yes': -0.96189576, 'No': -3.157891, ' Generally': -4.2952757, '\n': -4.344697}
{' Yes': -0.03525903, 'Yes': -4.233652, ' No': -4.759355, ' Generally': -5.2328963, ' M': -6.322674}
{' Yes': -0.020331845, 'Yes': -4.2131686, ' Generally': -6.1928887, ' yes': -6.7832594, '\n': -7.295511}
{' No': -0.21400218, '\n': -2.4443622, 'No': -2.5554576, ' ': -4.245275, ' Yes': -4.7328234}
{' Yes': -0.35939753, '\n': -2.2002654, ' No': -2.325981, 'Yes': -3.3175807, ' ': -3.8108208}
{' Yes': -0.43486276, '\n': -1.6531587, ' No': -2.6942277, 'Yes': -3.400433, ' ': -3.578608}
{' Yes': -0.07595285, 'Yes': -3.2186682, '\n': -3.6909144, ' ': -5.36598, ' yes': -6.6744685}
{' No': -0.16988586, ' Yes': -1.9067156, 'No': -5.3016376, ' ': -6.5303764, 'Yes': -7.4797616}
{' Yes': -0.01817942, ' No': -4.4541326, 'Yes': -5.3345165, ' ': -7.4440312, ' yes': -8.047485}
{' Yes': -0.17304787, ' No': -1.8872222, 'Yes': -5.736799, 'No': -6.4638286, ' Generally': -7.05103}
{' Yes': -0.0044291536, 'Yes': -5.5608964, ' yes': -8.081116, ' ': -9.125738, '\n': -9.53657}
{' No': -0.35429686, 'No': -1.3171588, '\n': -4.08055, ' ': -4.749835, ' A': -6.7921643}
{' No': -0.33964887, 'No': -1.44194, '\n': -3.8288856, ' Yes': -4.4559608, ' ': -4.510016}
{' No': -0.45212507, 'No': -1.448665, ' Yes': -2.923627, '\n': -3.3815246, ' ': -4.272461}
{' Yes': -0.156753, 'Yes': -2.1296551, '\n': -4.696162, ' ': -5.4203672, ' M': -5.6947775}
{' Yes': -0.3876512, ' No': -1.2680223, 'No': -4.637996, 'Yes': -4.7021728, ' ': -4.9662004}
{' Yes': -0.027396422, 'Yes': -4.2067995, ' yes': -5.014882, ' ': -6.2796474, ' Generally': -6.89005}
{' Yes': -0.03266251, 'Yes': -4.160638, ' yes': -4.6874228, ' Generally': -6.3810654, ' YES': -6.3929663}
{' Yes': -0.03216246, 'Yes': -4.036275, ' yes': -4.652232, ' ': -6.74249, ' Generally': -7.1026025}
{' Yes': -0.26068294, ' No': -1.9644507, 'Yes': -3.4943254, 'No': -3.9021678, ' Generally': -3.9814718}
{' Yes': -0.07558354, 'Yes': -3.1049962, ' yes': -4.616246, ' Generally': -5.017745, ' No': -5.5488715}
{' Yes': -0.15944333, ' Generally': -3.1504195, 'Yes': -3.2101045, ' No': -3.8697457, ' yes': -4.36089}
{' Yes': -0.0892997, 'Yes': -3.1260731, ' yes': -3.8775723, ' Generally': -4.5791235, ' M': -5.9003525}
{' No': -0.1277973, 'No': -2.1560545, ' Yes': -5.746659, ' ': -8.2399, 'Yes': -8.5437}
{' Yes': -0.4013605, ' No': -1.3548422, 'No': -3.2469375, 'Yes': -3.5884693, ' Generally': -5.8712683}
{' Yes': -0.36925763, ' No': -1.661038, 'No': -3.1448786, ' Generally': -3.3598692, 'Yes': -3.38752}
{' Yes': -0.06528619, 'Yes': -3.0156548, ' Generally': -4.596687, ' No': -6.8647413, ' yes': -7.2235007}
{' No': -0.25645998, ' Yes': -2.093475, 'No': -2.3663902, 'Yes': -5.092527, ' Generally': -6.9573426}
{' Yes': -0.15275201, ' No': -2.5682297, 'Yes': -3.152185, 'No': -4.123749, ' Generally': -5.8043766}
{' Yes': -0.40832058, ' No': -1.5086833, 'No': -2.9304209, 'Yes': -3.0819235, ' Generally': -4.7868185}
{' Yes': -0.062806465, 'Yes': -2.9121468, ' Generally': -5.8090143, ' No': -6.834827, ' yes': -7.3332915}
{' No': -0.029731615, 'No': -4.032842, ' Yes': -4.519687, ' ': -8.095126, 'Yes': -8.798481}
{' Yes': -0.028150631, ' No': -4.3093414, 'Yes': -4.395954, ' yes': -7.3828864, 'No': -7.648634}
{' Yes': -0.06824109, ' No': -3.607332, 'Yes': -3.9391608, ' Generally': -4.361429, ' M': -5.9998546}
{' Yes': -0.020231849, 'Yes': -4.170954, ' Generally': -5.75125, ' yes': -7.537768, ' M': -8.149488}
{' No': -0.53619474, 'No': -0.9795942, ' Yes': -4.5235243, ' M': -4.711564, ' Generally': -5.049927}
{' No': -0.67658526, 'No': -0.761344, ' Yes': -5.0952787, ' Generally': -5.3092985, ' M': -5.6435475}
{'No': -1.1311815, ' No': -1.1483285, ' Yes': -1.7251526, ' Generally': -2.8177276, 'Yes': -3.1564345}
{' Yes': -0.2561028, 'Yes': -1.85518, 'No': -4.2206945, ' No': -4.3345346, ' Generally': -4.4009585}
{' No': -0.07837859, 'No': -2.6647625, ' Yes': -5.658741, ' M': -7.4151134, ' ': -7.418345}
