{' Yes': -0.13539301, ' No': -2.1033745, 'Yes': -5.6440215, 'No': -7.5718822, ' The': -8.168239}
{' Yes': -0.004084306, 'Yes': -5.746941, ' No': -7.1411977, ' The': -10.162243, ' yes': -10.594347}
{' No': -0.010839365, 'No': -4.5748177, ' Yes': -7.8610644, ' The': -10.313742, ' ': -10.511342}
{' No': -0.15586545, ' Yes': -1.9492673, 'No': -6.474522, 'Yes': -8.634459, ' The': -9.218751}
{' No': -0.22354065, ' Yes': -1.6729901, 'No': -4.665738, 'Yes': -6.142955, ' ': -7.96851}
{' Yes': -0.5322478, ' No': -0.8916285, 'No': -6.7890396, 'Yes': -6.8125534, ' The': -8.324924}
{' No': -0.029743586, ' Yes': -4.2141423, 'No': -4.4340286, ' Unfortunately': -6.361292, ' Not': -7.5889993}
{' Yes': -0.01186669, ' No': -4.612607, 'Yes': -6.3494325, ' The': -10.150163, 'No': -10.2916975}
{' Yes': -0.09929599, ' No': -2.4101498, 'Yes': -5.5280128, 'No': -7.6281805, ' Wife': -9.080808}
{' No': -0.025281213, ' Yes': -3.929906, 'No': -5.2931643, ' Not': -9.456283, 'Yes': -9.503285}
{' Yes': -0.06750858, ' No': -2.747564, 'Yes': -7.0501933, 'No': -9.174815, ' The': -9.342279}
{' Yes': -0.39474607, ' No': -1.130643, 'Yes': -6.5985785, 'No': -6.7082267, ' The': -7.7785425}
{' No': -0.04912517, ' Yes': -3.1608708, 'No': -5.2469535, 'Yes': -8.559306, ' The': -10.455331}
{' No': -0.0101064015, 'No': -4.9173136, ' Yes': -5.934314, ' ': -10.450426, '\n': -10.539151}
{' Yes': -0.08377904, ' No': -2.5386567, 'Yes': -6.8321033, 'No': -8.63541, ' The': -9.339552}
{' No': -0.17176552, 'No': -2.128667, ' Impossible': -3.9110575, ' Impro': -5.3718023, ' Un': -5.750155}
{' No': -0.03640646, ' Yes': -3.3704097, 'No': -6.7025094, 'Yes': -9.985647, ' ': -10.27371}
