{' Yes': -0.0031022474, 'Yes': -5.9189844, ' No': -8.122923, ' yes': -9.982982, '\n': -10.223577}
{' Yes': -0.0026436392, 'Yes': -6.1092224, '\n': -8.47308, ' No': -9.04039, ' yes': -9.84903}
{' Yes': -0.0058556674, ' No': -5.7001133, 'Yes': -6.088514, ' Stop': -8.852546, ' yes': -10.614996}
{' Yes': -0.007930433, ' No': -5.3357563, 'Yes': -6.468456, ' Stop': -6.657457, ' Nope': -9.327523}
{' Yes': -0.07022532, ' Late': -2.7652974, 'Yes': -5.8016953, ' No': -7.737099, 'Late': -7.9196243}
{' Yes': -0.006031889, ' No': -5.5159516, 'Yes': -6.4693537, ' Late': -8.501714, ' yes': -9.714454}
{' Yes': -0.0026902535, 'Yes': -6.25959, ' No': -7.328154, ' yes': -9.6082735, ' YES': -10.758908}
{' Yes': -0.0023344732, 'Yes': -6.277929, ' No': -8.009553, ' yes': -9.6248865, ' YES': -11.096081}
{' Yes': -0.002367754, 'Yes': -6.1840725, ' Wife': -8.628412, ' YES': -10.229408, ' yes': -10.452962}
{' Yes': -0.11168034, ' No': -2.295314, 'Yes': -5.6496935, ' Wife': -7.579461, 'No': -7.6765013}
{' Yes': -0.001564309, 'Yes': -6.5300674, ' No': -9.956799, ' yes': -10.3722725, '\n': -11.586395}
{' Yes': -0.0018231362, 'Yes': -6.457414, ' yes': -9.670945, '\n': -9.830699, ' No': -9.835085}
{' Yes': -0.018758103, ' Duck': -4.2281237, 'Yes': -5.601708, ' yes': -9.374959, ' Yep': -9.7504425}
{' Yes': -0.014999471, ' Duck': -5.1030307, 'Yes': -5.2046905, ' No': -5.844449, ' yes': -9.0471525}
{' Yes': -0.013285312, ' Bank': -4.7456403, 'Yes': -5.4959607, ' No': -8.765848, ' yes': -9.46913}
{' Yes': -0.0022982706, 'Yes': -6.210105, ' No': -9.108544, ' yes': -9.2162285, ' YES': -9.984456}
{' Yes': -0.0015765481, 'Yes': -6.501506, ' yes': -10.578468, ' YES': -11.20356, ' No': -11.284319}
{' Yes': -0.001986881, 'Yes': -6.7341866, ' No': -7.2121744, '\n': -10.453256, ' yes': -10.996932}
{' Yes': -0.0037684722, ' No': -6.2950106, 'Yes': -6.3184514, ' Stay': -9.886834, ' yes': -10.769446}
{' Yes': -0.0018357929, 'Yes': -6.394376, ' No': -9.431703, ' yes': -10.425313, ' Stay': -10.984246}
{' Yes': -0.005311304, 'Yes': -5.603347, ' No': -7.4182296, ' Ye': -8.070757, ' yes': -8.124949}
{' Yes': -0.09323568, ' Ye': -3.5609612, ' East': -3.6006265, ' Eas': -4.6495595, 'Yes': -4.6978707}
{' No': -0.09945464, ' Yes': -2.3937871, 'No': -5.880983, ' Nope': -8.346432, 'Yes': -8.532822}
{' No': -0.28439438, ' Yes': -1.4110233, 'No': -6.240376, ' Nope': -6.7749906, 'Yes': -8.034593}
{' Yes': -0.0921102, ' No': -2.446486, 'Yes': -6.8780255, 'No': -8.70559, ' Draw': -9.212969}
{' Yes': -0.003120182, ' No': -6.170614, 'Yes': -6.9762945, ' yes': -10.3353, ' Draw': -10.540445}
{' King': -0.043034956, ' Yes': -3.4553616, 'King': -4.921321, ' Kings': -5.888042, 'Yes': -8.818951}
{' Yes': -0.08292445, ' King': -3.091744, ' No': -3.7647767, 'Yes': -5.12727, 'King': -6.2674823}
{' Yes': -0.052683182, ' No': -3.00844, 'Yes': -6.4339123, 'No': -9.164216, ' Nope': -9.271069}
{' Yes': -0.024779586, ' No': -3.7890563, 'Yes': -6.4712205, ' Nope': -9.234983, ' Lose': -10.042902}
{' Yes': -0.0023132663, 'Yes': -6.587377, ' No': -7.6060996, ' Sure': -8.032372, '\n': -10.705649}
{' Yes': -0.001057957, 'Yes': -7.0203943, ' Sure': -9.166095, ' No': -10.941142, '\n': -11.32295}
{' Yes': -0.0071949917, 'Yes': -5.286698, ' Sick': -6.3025517, ' yes': -8.929501, ' YES': -9.458431}
{' Yes': -0.0017673635, 'Yes': -6.4867277, ' No': -8.633475, ' yes': -10.33266, ' YES': -11.491798}
{' Yes': -0.004688484, 'Yes': -5.8781033, ' No': -7.1877093, ' Dirt': -7.2352366, ' yes': -9.029166}
{' Yes': -0.034343727, ' No': -3.433666, 'Yes': -6.6594367, 'No': -9.366825, ' yes': -10.48649}
{' Yes': -0.0048710317, ' No': -6.1699514, 'Yes': -6.6375933, ' Te': -7.3343844, ' Tea': -8.6075115}
{' Yes': -0.0032043124, 'Yes': -6.086345, ' No': -7.4433436, ' yes': -9.0519905, ' Te': -9.494281}
{' No': -0.0056757587, 'No': -5.2293696, ' Nope': -8.368169, '\n': -10.4633875, ' ': -11.176015}
{' Yes': -0.06728886, ' No': -2.7568011, 'Yes': -6.661393, 'No': -9.129886, ' Nope': -9.649409}
{' Yes': -0.045049123, ' Rain': -3.2229419, 'Yes': -6.0373836, 'Rain': -7.496823, ' No': -7.5516467}
